layer_id,run_id,debias_method,model,train_accuracy,train_roc_auc,train_f1,train_recall,train_precision,test_accuracy,test_roc_auc,test_f1,test_recall,test_precision
5,0,lr,LogisticRegression,0.9034598214285714,0.9515331034757653,0.9045780474351903,0.9151785714285714,0.8942202835332607,0.8046875,0.87274169921875,0.8120300751879699,0.84375,0.782608695652174
5,0,lr,XGBoost,1.0,1.0,1.0,1.0,1.0,0.8046875,0.872314453125,0.8175182481751825,0.875,0.7671232876712328
5,0,dm,LogisticRegression,0.5239955357142857,0.5179555464764031,0.5237297599106644,0.5234375,0.524022346368715,0.55078125,0.560455322265625,0.5525291828793775,0.5546875,0.5503875968992248
5,0,dm,XGBoost,1.0,1.0,1.0,1.0,1.0,0.59375,0.6251220703125,0.6,0.609375,0.5909090909090909
5,0,pclarc,LogisticRegression,0.9034598214285714,0.9515181560905612,0.9045780474351903,0.9151785714285714,0.8942202835332607,0.8046875,0.87274169921875,0.8120300751879699,0.84375,0.782608695652174
5,0,pclarc,XGBoost,1.0,1.0,1.0,1.0,1.0,0.8046875,0.872314453125,0.8175182481751825,0.875,0.7671232876712328
5,1,lr,LogisticRegression,0.9107142857142857,0.9545499840561223,0.9112097669256382,0.9162946428571429,0.9061810154525386,0.78515625,0.86798095703125,0.7843137254901961,0.78125,0.7874015748031497
5,1,lr,XGBoost,1.0,1.0,1.0,1.0,1.0,0.7890625,0.8770751953125,0.7890625,0.7890625,0.7890625
5,1,dm,LogisticRegression,0.5122767857142857,0.5118283641581634,0.5078828828828829,0.5033482142857143,0.5125,0.5703125,0.613525390625,0.5736434108527132,0.578125,0.5692307692307692
5,1,dm,XGBoost,0.9994419642857143,0.9999887894610969,0.9994416527079844,0.9988839285714286,1.0,0.5625,0.588134765625,0.5447154471544715,0.5234375,0.5677966101694916
5,1,pclarc,LogisticRegression,0.9112723214285714,0.954547492825255,0.9118136439267887,0.9174107142857143,0.906284454244763,0.78515625,0.867919921875,0.7843137254901961,0.78125,0.7874015748031497
5,1,pclarc,XGBoost,1.0,1.0,1.0,1.0,1.0,0.7890625,0.8770751953125,0.7890625,0.7890625,0.7890625
5,2,lr,LogisticRegression,0.9146205357142857,0.9573999521683674,0.915702479338843,0.9274553571428571,0.9042437431991295,0.76953125,0.84222412109375,0.7722007722007722,0.78125,0.7633587786259542
5,2,lr,XGBoost,1.0,1.0,1.0,1.0,1.0,0.81640625,0.87274169921875,0.8226415094339623,0.8515625,0.7956204379562044
5,2,dm,LogisticRegression,0.5066964285714286,0.5143557178730868,0.503370786516854,0.5,0.5067873303167421,0.421875,0.4161376953125,0.38333333333333336,0.359375,0.4107142857142857
5,2,dm,XGBoost,0.9988839285714286,0.9999975087691326,0.9988839285714286,0.9988839285714286,0.9988839285714286,0.640625,0.6668701171875,0.640625,0.640625,0.640625
5,2,pclarc,LogisticRegression,0.9146205357142857,0.957389987244898,0.915702479338843,0.9274553571428571,0.9042437431991295,0.76953125,0.8421630859375,0.7722007722007722,0.78125,0.7633587786259542
5,2,pclarc,XGBoost,1.0,1.0,1.0,1.0,1.0,0.81640625,0.87274169921875,0.8226415094339623,0.8515625,0.7956204379562044
5,3,lr,LogisticRegression,0.9246651785714286,0.9613086933992346,0.9250416435313714,0.9296875,0.9204419889502763,0.7890625,0.8695068359375,0.7969924812030075,0.828125,0.7681159420289855
5,3,lr,XGBoost,1.0,1.0,1.0,1.0,1.0,0.8125,0.89373779296875,0.8181818181818182,0.84375,0.7941176470588235
5,3,dm,LogisticRegression,0.5016741071428571,0.5189252580915178,0.4946236559139785,0.4877232142857143,0.5017221584385764,0.4921875,0.477294921875,0.48412698412698413,0.4765625,0.49193548387096775
5,3,dm,XGBoost,0.9994419642857143,1.0,0.9994416527079844,0.9988839285714286,1.0,0.6171875,0.6668701171875,0.6287878787878788,0.6484375,0.6102941176470589
5,3,pclarc,LogisticRegression,0.9246651785714286,0.9613086933992346,0.9250416435313714,0.9296875,0.9204419889502763,0.7890625,0.86956787109375,0.7969924812030075,0.828125,0.7681159420289855
5,3,pclarc,XGBoost,1.0,1.0,1.0,1.0,1.0,0.8125,0.89373779296875,0.8181818181818182,0.84375,0.7941176470588235
5,4,lr,LogisticRegression,0.9123883928571429,0.9518582091039541,0.9126321647189761,0.9151785714285714,0.9100998890122086,0.74609375,0.86590576171875,0.7619047619047619,0.8125,0.7172413793103448
5,4,lr,XGBoost,1.0,1.0,1.0,1.0,1.0,0.7890625,0.8720703125,0.8043478260869565,0.8671875,0.75
5,4,dm,LogisticRegression,0.5128348214285714,0.514030612244898,0.5014277555682467,0.48995535714285715,0.5134502923976608,0.5,0.47430419921875,0.47540983606557374,0.453125,0.5
5,4,dm,XGBoost,0.9994419642857143,1.0,0.9994416527079844,0.9988839285714286,1.0,0.5859375,0.61212158203125,0.6131386861313869,0.65625,0.5753424657534246
5,4,pclarc,LogisticRegression,0.9123883928571429,0.9518594547193877,0.9126321647189761,0.9151785714285714,0.9100998890122086,0.74609375,0.86590576171875,0.7619047619047619,0.8125,0.7172413793103448
5,4,pclarc,XGBoost,1.0,1.0,1.0,1.0,1.0,0.7890625,0.8720703125,0.8043478260869565,0.8671875,0.75
5,5,lr,LogisticRegression,0.91015625,0.9542398258131378,0.9106052193225985,0.9151785714285714,0.9060773480662984,0.73828125,0.84307861328125,0.7413127413127413,0.75,0.732824427480916
5,5,lr,XGBoost,1.0,1.0,1.0,1.0,1.0,0.7890625,0.86431884765625,0.8043478260869565,0.8671875,0.75
5,5,dm,LogisticRegression,0.5178571428571429,0.5299159458705357,0.5129650507328072,0.5078125,0.5182232346241458,0.47265625,0.45843505859375,0.466403162055336,0.4609375,0.472
5,5,dm,XGBoost,0.9994419642857143,1.0,0.9994416527079844,0.9988839285714286,1.0,0.59765625,0.650390625,0.5928853754940712,0.5859375,0.6
5,5,pclarc,LogisticRegression,0.91015625,0.9542335977359694,0.9106052193225985,0.9151785714285714,0.9060773480662984,0.73828125,0.843017578125,0.7413127413127413,0.75,0.732824427480916
