regime,concept,method,layer,label,mmd2,abs_skew_pre,abs_skew_post,abs_kurt_pre,abs_kurt_post,delta_skew,delta_kurt
single,bald,diff_means,0,pos,0.9282535052028571,0.2982083857059479,0.32365965843200684,0.77626633644104,0.8472774028778076,0.02545127272605896,0.07101106643676758
single,bald,diff_means,0,neg,1.3208809339320313,0.28313493728637695,0.37134668231010437,0.7580838203430176,1.0434684753417969,0.08821174502372742,0.2853846549987793
single,bald,diff_means,1,pos,0.15710815905339048,0.3223147988319397,0.3491517901420593,0.5525240302085876,0.5764082670211792,0.02683699131011963,0.023884236812591553
single,bald,diff_means,1,neg,0.07369329421828463,0.22341114282608032,0.293811559677124,0.4389270544052124,0.5919623970985413,0.0704004168510437,0.15303534269332886
single,bald,diff_means,2,pos,0.08263779988981246,0.29804325103759766,0.30938997864723206,0.496734082698822,0.5130196809768677,0.0113467276096344,0.016285598278045654
single,bald,diff_means,2,neg,0.026334997654849923,0.2182329297065735,0.28409749269485474,0.3407767117023468,0.5196701288223267,0.06586456298828125,0.17889341711997986
single,bald,diff_means,3,pos,0.055139941198543596,0.25175389647483826,0.24989375472068787,0.4175272583961487,0.4159124791622162,-0.0018601417541503906,-0.0016147792339324951
single,bald,diff_means,3,neg,0.010717035357538762,0.18364110589027405,0.2508505880832672,0.2824849486351013,0.4308702349662781,0.06720948219299316,0.14838528633117676
single,bald,diff_means,4,pos,0.11946657191001542,0.2329612821340561,0.2283475250005722,0.39484745264053345,0.3875216841697693,-0.004613757133483887,-0.00732576847076416
single,bald,diff_means,4,neg,0.046811614731356865,0.15725822746753693,0.23148590326309204,0.24303960800170898,0.3901927173137665,0.07422767579555511,0.1471531093120575
single,bald,diff_means,5,pos,0.20079982053316514,0.25680941343307495,0.25290030241012573,0.4168054461479187,0.42095237970352173,-0.003909111022949219,0.004146933555603027
single,bald,diff_means,5,neg,0.12563725246986368,0.1839682161808014,0.2553575038909912,0.2654097080230713,0.4051334857940674,0.07138928771018982,0.1397237777709961
single,bald,diff_means,6,pos,0.1194365661119079,0.2758771777153015,0.27336394786834717,0.47102972865104675,0.4662059545516968,-0.0025132298469543457,-0.004823774099349976
single,bald,diff_means,6,neg,0.05973552585148689,0.17824015021324158,0.25329089164733887,0.27845388650894165,0.4249626398086548,0.07505074143409729,0.14650875329971313
single,bald,diff_means,7,pos,0.08021955787175017,0.2719453275203705,0.2690981924533844,0.48483553528785706,0.4889258146286011,-0.002847135066986084,0.0040902793407440186
single,bald,diff_means,7,neg,0.038173159318719785,0.19997677206993103,0.2690553069114685,0.3313136100769043,0.4761803150177002,0.06907853484153748,0.1448667049407959
single,bald,diff_means,8,pos,0.03905307300684169,0.26073676347732544,0.25691720843315125,0.4628787636756897,0.4513394236564636,-0.0038195550441741943,-0.011539340019226074
single,bald,diff_means,8,neg,0.011937957162220014,0.18441638350486755,0.25246304273605347,0.3099653720855713,0.43064454197883606,0.06804665923118591,0.12067916989326477
single,bald,diff_means,9,pos,0.03557735654664551,0.23490367829799652,0.23479093611240387,0.40643930435180664,0.4042922854423523,-0.00011274218559265137,-0.0021470189094543457
single,bald,diff_means,9,neg,0.01280995975556487,0.14696037769317627,0.2151627093553543,0.2502111792564392,0.38705354928970337,0.06820233166217804,0.13684237003326416
single,bald,diff_means,10,pos,0.04330903070999503,0.22926488518714905,0.22756224870681763,0.3893485963344574,0.3872307538986206,-0.001702636480331421,-0.002117842435836792
single,bald,diff_means,10,neg,0.016781169355565062,0.1497204303741455,0.21228793263435364,0.2537931203842163,0.3797837495803833,0.06256750226020813,0.125990629196167
single,bald,diff_means,11,pos,0.048370308660292904,0.23321110010147095,0.2265612930059433,0.39240288734436035,0.38575267791748047,-0.006649807095527649,-0.006650209426879883
single,bald,diff_means,11,neg,0.020745949264614705,0.1462555229663849,0.19208690524101257,0.23465530574321747,0.3537975549697876,0.045831382274627686,0.11914224922657013
single,bald,diff_means,12,pos,0.04976561665763679,0.20923969149589539,0.20283067226409912,0.34667474031448364,0.3547043204307556,-0.006409019231796265,0.008029580116271973
single,bald,diff_means,12,neg,0.02140802943502873,0.1236886978149414,0.19074870645999908,0.19994866847991943,0.32859641313552856,0.06706000864505768,0.12864774465560913
single,bald,diff_means,13,pos,0.020824255265275315,0.2016211748123169,0.2016773521900177,0.35464388132095337,0.3539482355117798,5.6177377700805664e-05,-0.000695645809173584
single,bald,diff_means,13,neg,0.004381257688331752,0.13337333500385284,0.19305340945720673,0.20629535615444183,0.3459455966949463,0.05968007445335388,0.13965024054050446
single,bald,diff_means,14,pos,9.818554942420121e-07,0.2152685821056366,0.21546223759651184,0.3711422085762024,0.3696398138999939,0.00019365549087524414,-0.001502394676208496
single,bald,diff_means,14,neg,0.0,0.144506573677063,0.19640663266181946,0.22792060673236847,0.3440544903278351,0.05190005898475647,0.11613388359546661
single,bald,diff_means,15,pos,5.58614755830078e-06,0.212477445602417,0.20814168453216553,0.36254435777664185,0.35826802253723145,-0.004335761070251465,-0.0042763352394104
single,bald,diff_means,15,neg,0.0,0.13373327255249023,0.18726110458374023,0.20564809441566467,0.3531798720359802,0.05352783203125,0.14753177762031555
single,bald,diff_means,16,pos,0.01312701654022197,0.20591706037521362,0.2031913548707962,0.3436846137046814,0.339671790599823,-0.0027257055044174194,-0.0040128231048583984
single,bald,diff_means,16,neg,0.0,0.1456422209739685,0.19898344576358795,0.22282175719738007,0.3522832989692688,0.053341224789619446,0.12946154177188873
single,bald,diff_means,17,pos,0.010464878327154148,0.20144152641296387,0.2018125057220459,0.3372845947742462,0.3397867679595947,0.00037097930908203125,0.0025021731853485107
single,bald,diff_means,17,neg,0.0,0.13976973295211792,0.20651185512542725,0.21237216889858246,0.36311668157577515,0.06674212217330933,0.1507445126771927
single,bald,diff_means,18,pos,0.006359265199813224,0.2253076136112213,0.22618550062179565,0.3820229768753052,0.38271772861480713,0.0008778870105743408,0.0006947517395019531
single,bald,diff_means,18,neg,0.0007693032100797303,0.15351472795009613,0.21607784926891327,0.23215827345848083,0.3569738268852234,0.06256312131881714,0.12481555342674255
single,bald,diff_means,19,pos,0.016846080953894393,0.2333850860595703,0.2311900556087494,0.41336125135421753,0.41654711961746216,-0.002195030450820923,0.003185868263244629
single,bald,diff_means,19,neg,0.0,0.16051144897937775,0.21904356777668,0.24179476499557495,0.3739035129547119,0.058532118797302246,0.13210874795913696
single,bald,diff_means,20,pos,0.02242505700629982,0.23708827793598175,0.23689740896224976,0.45438632369041443,0.45199453830718994,-0.00019086897373199463,-0.0023917853832244873
single,bald,diff_means,20,neg,0.0,0.1745452880859375,0.23549962043762207,0.3106057047843933,0.42480504512786865,0.06095433235168457,0.11419934034347534
single,bald,diff_means,21,pos,0.03614018474290659,0.24018341302871704,0.23910187184810638,0.4752061367034912,0.47517824172973633,-0.0010815411806106567,-2.7894973754882812e-05
single,bald,diff_means,21,neg,0.0,0.20326659083366394,0.2551555037498474,0.3672245740890503,0.43483400344848633,0.05188891291618347,0.06760942935943604
single,bald,diff_means,22,pos,0.028343581705626564,0.2656385898590088,0.26614898443222046,0.4629546105861664,0.4622100591659546,0.0005103945732116699,-0.000744551420211792
single,bald,diff_means,22,neg,0.0,0.16524307429790497,0.2237420678138733,0.2967604994773865,0.3928104043006897,0.05849899351596832,0.09604990482330322
single,bald,diff_means,23,pos,0.02568451069647093,0.2379719465970993,0.23486310243606567,0.4003469944000244,0.4013517498970032,-0.0031088441610336304,0.0010047554969787598
single,bald,diff_means,23,neg,0.0,0.1439250409603119,0.20231959223747253,0.22254052758216858,0.3548717498779297,0.058394551277160645,0.1323312222957611
single,bald,lr,0,pos,0.0012826900945945852,0.2982083857059479,0.3146704137325287,0.77626633644104,0.8521938323974609,0.01646202802658081,0.0759274959564209
single,bald,lr,0,neg,0.0,0.28313493728637695,0.3837639093399048,0.7580838203430176,1.0888051986694336,0.10062897205352783,0.330721378326416
single,bald,lr,1,pos,0.029994567739930922,0.3223147988319397,0.3317345082759857,0.5525240302085876,0.5569730401039124,0.00941970944404602,0.004449009895324707
single,bald,lr,1,neg,0.005483258502946509,0.22341114282608032,0.30341383814811707,0.4389270544052124,0.6289278864860535,0.08000269532203674,0.19000083208084106
single,bald,lr,2,pos,0.0,0.29804325103759766,0.3060886263847351,0.496734082698822,0.5139204263687134,0.008045375347137451,0.017186343669891357
single,bald,lr,2,neg,0.0020196093731728038,0.2182329297065735,0.28992873430252075,0.3407767117023468,0.5145117044448853,0.07169580459594727,0.17373499274253845
single,bald,lr,3,pos,0.0,0.25175389647483826,0.24819007515907288,0.4175272583961487,0.42542076110839844,-0.003563821315765381,0.007893502712249756
single,bald,lr,3,neg,0.0029536032903714204,0.18364110589027405,0.25182488560676575,0.2824849486351013,0.43615081906318665,0.0681837797164917,0.15366587042808533
single,bald,lr,4,pos,0.138936794359088,0.2329612821340561,0.2297402024269104,0.39484745264053345,0.395628422498703,-0.003221079707145691,0.0007809698581695557
single,bald,lr,4,neg,0.08043799453009703,0.15725822746753693,0.23331370949745178,0.24303960800170898,0.3915397524833679,0.07605548202991486,0.14850014448165894
single,bald,lr,5,pos,0.2347367462691452,0.25680941343307495,0.2524128258228302,0.4168054461479187,0.4263201951980591,-0.004396587610244751,0.00951474905014038
single,bald,lr,5,neg,0.17119074338664975,0.1839682161808014,0.2569621801376343,0.2654097080230713,0.40632355213165283,0.07299396395683289,0.14091384410858154
single,bald,lr,6,pos,0.1102629619240032,0.2758771777153015,0.27613070607185364,0.47102972865104675,0.47341153025627136,0.000253528356552124,0.0023818016052246094
single,bald,lr,6,neg,0.06007901335200194,0.17824015021324158,0.25599879026412964,0.27845388650894165,0.4262828826904297,0.07775864005088806,0.14782899618148804
single,bald,lr,7,pos,0.032370773442729206,0.2719453275203705,0.26984524726867676,0.48483553528785706,0.4887988865375519,-0.0021000802516937256,0.003963351249694824
single,bald,lr,7,neg,0.010687932842996739,0.19997677206993103,0.26954561471939087,0.3313136100769043,0.47876250743865967,0.06956884264945984,0.14744889736175537
single,bald,lr,8,pos,0.0068397913409727895,0.26073676347732544,0.2589902877807617,0.4628787636756897,0.4567834734916687,-0.0017464756965637207,-0.006095290184020996
single,bald,lr,8,neg,0.0,0.18441638350486755,0.2506335377693176,0.3099653720855713,0.42848891019821167,0.06621715426445007,0.11852353811264038
single,bald,lr,9,pos,0.014331905723762528,0.23490367829799652,0.23576858639717102,0.40643930435180664,0.40673667192459106,0.0008649080991744995,0.00029736757278442383
single,bald,lr,9,neg,0.0026480285074068632,0.14696037769317627,0.21483857929706573,0.2502111792564392,0.38491541147232056,0.06787820160388947,0.13470423221588135
single,bald,lr,10,pos,0.010784119423557836,0.22926488518714905,0.22966212034225464,0.3893485963344574,0.39158642292022705,0.0003972351551055908,0.0022378265857696533
single,bald,lr,10,neg,0.0012622002865130266,0.1497204303741455,0.21219879388809204,0.2537931203842163,0.3788427412509918,0.06247836351394653,0.1250496208667755
single,bald,lr,11,pos,0.005991747485471599,0.23321110010147095,0.23204901814460754,0.39240288734436035,0.39195331931114197,-0.0011620819568634033,-0.0004495680332183838
single,bald,lr,11,neg,6.786673781578045e-05,0.1462555229663849,0.19356372952461243,0.23465530574321747,0.3562333881855011,0.04730820655822754,0.12157808244228363
single,bald,lr,12,pos,0.0,0.20923969149589539,0.20873239636421204,0.34667474031448364,0.3478710353374481,-0.0005072951316833496,0.0011962950229644775
single,bald,lr,12,neg,0.0,0.1236886978149414,0.19029632210731506,0.19994866847991943,0.3287791609764099,0.06660762429237366,0.12883049249649048
single,bald,lr,13,pos,0.0,0.2016211748123169,0.20179367065429688,0.35464388132095337,0.3543117046356201,0.00017249584197998047,-0.00033217668533325195
