concept,method,layer,label,mmd2
bald,diff_means,0,pos,0.9282544497202108
bald,diff_means,0,neg,1.3228436026358377
bald,diff_means,1,pos,0.6464498057263193
bald,diff_means,1,neg,0.7694292302383708
bald,diff_means,2,pos,0.706436444544674
bald,diff_means,2,neg,1.0222128738039085
bald,diff_means,3,pos,0.6268572931159919
bald,diff_means,3,neg,0.8343132135330822
bald,diff_means,4,pos,0.48831219754186894
bald,diff_means,4,neg,0.5830568144135894
bald,diff_means,5,pos,0.33152118059677504
bald,diff_means,5,neg,0.3690854509340493
bald,diff_means,6,pos,0.25231627812307456
bald,diff_means,6,neg,0.2899346594201657
bald,diff_means,7,pos,0.1949092153531089
bald,diff_means,7,neg,0.2124031736312133
bald,diff_means,8,pos,0.15699788144027238
bald,diff_means,8,neg,0.1457644054689866
bald,diff_means,9,pos,0.07856135614363935
bald,diff_means,9,neg,0.07486894352195028
bald,diff_means,10,pos,0.06101946376165812
bald,diff_means,10,neg,0.05061840303675358
bald,diff_means,11,pos,0.06938484500787401
bald,diff_means,11,neg,0.051584441336358866
bald,diff_means,12,pos,0.050143148774740354
bald,diff_means,12,neg,0.03290528536484083
bald,diff_means,13,pos,0.04114251490312748
bald,diff_means,13,neg,0.029708220166569488
bald,diff_means,14,pos,0.03445829824557256
bald,diff_means,14,neg,0.025764805411234493
bald,diff_means,15,pos,0.0309702114596917
bald,diff_means,15,neg,0.019862427380445524
bald,diff_means,16,pos,0.04051056450505963
bald,diff_means,16,neg,0.018612882981092094
bald,diff_means,17,pos,0.02810603598883188
bald,diff_means,17,neg,0.02301089054276173
bald,diff_means,18,pos,0.03951747060009647
bald,diff_means,18,neg,0.01911334586733915
bald,diff_means,19,pos,0.030031055633912285
bald,diff_means,19,neg,0.012182924961956054
bald,diff_means,20,pos,0.022722767458335236
bald,diff_means,20,neg,0.010660292296623242
bald,diff_means,21,pos,0.031727952046467056
bald,diff_means,21,neg,0.005982459458534262
bald,diff_means,22,pos,0.03522998944899025
bald,diff_means,22,neg,0.0051856844870021845
bald,diff_means,23,pos,0.032628679266263116
bald,diff_means,23,neg,0.002468575233335768
bald,lr,0,pos,0.7795890552531419
