concept,method,debias_layer,downstream_layer,layers_after,label,mmd2
bald,diff_means,0,0,0,pos,0.9282535052028571
bald,diff_means,0,0,0,neg,1.3208809339320313
bald,diff_means,0,1,1,pos,0.6899914697321852
bald,diff_means,0,1,1,neg,0.7610061553259929
bald,diff_means,0,2,2,pos,0.5799759070603335
bald,diff_means,0,2,2,neg,0.6002045350830623
bald,diff_means,0,3,3,pos,0.5103906558670828
bald,diff_means,0,3,3,neg,0.5073526343931847
bald,diff_means,0,4,4,pos,0.3693619516680575
bald,diff_means,0,4,4,neg,0.3455733612516001
bald,diff_means,0,5,5,pos,0.24016822754641765
bald,diff_means,0,5,5,neg,0.2254287619494928
bald,diff_means,0,6,6,pos,0.16775710156454227
bald,diff_means,0,6,6,neg,0.1501375100350446
bald,diff_means,0,7,7,pos,0.11057974728808784
bald,diff_means,0,7,7,neg,0.09964314866420376
bald,diff_means,0,8,8,pos,0.0606988870883618
bald,diff_means,0,8,8,neg,0.05401381187667886
bald,diff_means,0,9,9,pos,0.031980037992555665
bald,diff_means,0,9,9,neg,0.031633732766842115
bald,diff_means,0,10,10,pos,0.020856428017817175
bald,diff_means,0,10,10,neg,0.02024452752039907
bald,diff_means,0,11,11,pos,0.011601945655223211
bald,diff_means,0,11,11,neg,0.014227040890089304
bald,diff_means,0,12,12,pos,0.00820030877665423
bald,diff_means,0,12,12,neg,0.008598795448287566
bald,diff_means,0,13,13,pos,0.0063030825408660895
bald,diff_means,0,13,13,neg,0.008358436843539874
bald,diff_means,0,14,14,pos,0.008052149128917163
bald,diff_means,0,14,14,neg,0.009470692404806025
bald,diff_means,0,15,15,pos,0.00507944631671009
bald,diff_means,0,15,15,neg,0.006470357536133564
bald,diff_means,0,16,16,pos,0.00292800332405041
bald,diff_means,0,16,16,neg,0.004862799447989952
bald,diff_means,0,17,17,pos,0.0005322507052807346
bald,diff_means,0,17,17,neg,0.003941266818400457
bald,diff_means,0,18,18,pos,0.0
bald,diff_means,0,18,18,neg,0.003250258559670982
bald,diff_means,0,19,19,pos,0.0
bald,diff_means,0,19,19,neg,0.0010867528175326768
bald,diff_means,0,20,20,pos,0.0
bald,diff_means,0,20,20,neg,0.001019555389919713
bald,diff_means,0,21,21,pos,0.0
bald,diff_means,0,21,21,neg,0.0007752941700562843
bald,diff_means,0,22,22,pos,0.0
bald,diff_means,0,22,22,neg,0.000475726487913386
bald,diff_means,0,23,23,pos,0.0
bald,diff_means,0,23,23,neg,0.0002792799850186434
bald,diff_means,1,1,0,pos,0.15710815905339048
bald,diff_means,1,1,0,neg,0.0668803669928757
bald,diff_means,1,2,1,pos,0.09631815432987367
bald,diff_means,1,2,1,neg,0.04425598810565501
bald,diff_means,1,3,2,pos,0.0732689614323716
bald,diff_means,1,3,2,neg,0.031671009850006815
bald,diff_means,1,4,3,pos,0.043054884891696066
bald,diff_means,1,4,3,neg,0.019247489562731035
bald,diff_means,1,5,4,pos,0.02201598128142046
bald,diff_means,1,5,4,neg,0.010968632357949648
bald,diff_means,1,6,5,pos,0.012093194597149859
bald,diff_means,1,6,5,neg,0.005469160415442875
bald,diff_means,1,7,6,pos,0.005070297551530656
bald,diff_means,1,7,6,neg,0.004037076316313115
bald,diff_means,1,8,7,pos,0.0
bald,diff_means,1,8,7,neg,0.0006568668176600845
bald,diff_means,1,9,8,pos,0.0
bald,diff_means,1,9,8,neg,0.0
bald,diff_means,1,10,9,pos,0.0
bald,diff_means,1,10,9,neg,0.0
bald,diff_means,1,11,10,pos,0.0
bald,diff_means,1,11,10,neg,0.0
bald,diff_means,1,12,11,pos,0.0
bald,diff_means,1,12,11,neg,0.0
