regime,concept,method,layer,label,mmd2,abs_skew_pre,abs_skew_post,abs_kurt_pre,abs_kurt_post,delta_skew,delta_kurt
single,chubby,diff_means,0,pos,0.4578583835675497,0.24975118041038513,0.24639198184013367,0.5461068749427795,0.5695043206214905,-0.003359198570251465,0.023397445678710938
single,chubby,diff_means,0,neg,0.46213361407420206,0.289750337600708,0.37532246112823486,0.7656826972961426,0.9755136966705322,0.08557212352752686,0.20983099937438965
single,chubby,diff_means,1,pos,0.10868349875853744,0.23781481385231018,0.2498132288455963,0.40779775381088257,0.45824259519577026,0.011998414993286133,0.050444841384887695
single,chubby,diff_means,1,neg,0.07680165475087763,0.23566949367523193,0.30609217286109924,0.45257607102394104,0.5556626319885254,0.07042267918586731,0.10308656096458435
single,chubby,diff_means,2,pos,0.03229289995618112,0.22787967324256897,0.22918707132339478,0.4106045365333557,0.4282047748565674,0.0013073980808258057,0.01760023832321167
single,chubby,diff_means,2,neg,0.017407157414698116,0.2280537635087967,0.30202800035476685,0.3610883355140686,0.47976744174957275,0.07397423684597015,0.11867910623550415
single,chubby,diff_means,3,pos,0.03352152056269864,0.19981761276721954,0.20771124958992004,0.35786139965057373,0.3979910612106323,0.0078936368227005,0.040129661560058594
single,chubby,diff_means,3,neg,0.019940124633982537,0.1904086470603943,0.2666033208370209,0.3008595407009125,0.43946021795272827,0.07619467377662659,0.1386006772518158
single,chubby,diff_means,4,pos,0.09383816540584333,0.18900403380393982,0.19998177886009216,0.3561962842941284,0.38830071687698364,0.010977745056152344,0.032104432582855225
single,chubby,diff_means,4,neg,0.06448849633366538,0.1608450710773468,0.22310537099838257,0.2502935826778412,0.39052969217300415,0.06226029992103577,0.14023610949516296
single,chubby,diff_means,5,pos,0.1531064743921604,0.196469247341156,0.20602348446846008,0.3281281292438507,0.3692745268344879,0.009554237127304077,0.04114639759063721
single,chubby,diff_means,5,neg,0.11262451723230282,0.1951698213815689,0.23803380131721497,0.2881576716899872,0.412810355424881,0.04286397993564606,0.1246526837348938
single,chubby,diff_means,6,pos,0.20655995288404783,0.2118641436100006,0.22421139478683472,0.3581339418888092,0.39879757165908813,0.012347251176834106,0.04066362977027893
single,chubby,diff_means,6,neg,0.16217178642095997,0.18677929043769836,0.21995383501052856,0.3057986795902252,0.3765944838523865,0.0331745445728302,0.07079580426216125
single,chubby,diff_means,7,pos,0.14729723140376172,0.23673921823501587,0.24880729615688324,0.41254979372024536,0.4379871189594269,0.01206807792186737,0.02543732523918152
single,chubby,diff_means,7,neg,0.10714121898011619,0.20375816524028778,0.23490983247756958,0.34479454159736633,0.4327649474143982,0.0311516672372818,0.08797040581703186
single,chubby,diff_means,8,pos,0.029741735715948847,0.21809518337249756,0.23172472417354584,0.3759796619415283,0.42051753401756287,0.013629540801048279,0.044537872076034546
single,chubby,diff_means,8,neg,0.014884398618962846,0.191199392080307,0.21882784366607666,0.3233417272567749,0.35733431577682495,0.027628451585769653,0.03399258852005005
single,chubby,diff_means,9,pos,0.02041726150931278,0.20014187693595886,0.20865094661712646,0.3379846215248108,0.3592988848686218,0.008509069681167603,0.021314263343811035
single,chubby,diff_means,9,neg,0.007709706542004202,0.1532619595527649,0.21084517240524292,0.2648736536502838,0.35838818550109863,0.05758321285247803,0.09351453185081482
single,chubby,diff_means,10,pos,0.024558377875939064,0.20544199645519257,0.21593832969665527,0.34937238693237305,0.3869277834892273,0.010496333241462708,0.03755539655685425
single,chubby,diff_means,10,neg,0.011246817156136402,0.1531566083431244,0.2067868411540985,0.26073509454727173,0.36518049240112305,0.05363023281097412,0.10444539785385132
single,chubby,diff_means,11,pos,0.014537742825336597,0.19585776329040527,0.19682908058166504,0.3288229703903198,0.3538719713687897,0.0009713172912597656,0.02504900097846985
single,chubby,diff_means,11,neg,0.005286686387365291,0.14889363944530487,0.1937924325466156,0.24414388835430145,0.3573771119117737,0.04489879310131073,0.11323322355747223
single,chubby,diff_means,12,pos,0.02080306517281927,0.1830638349056244,0.19056814908981323,0.3209095597267151,0.3438645601272583,0.007504314184188843,0.022955000400543213
single,chubby,diff_means,12,neg,0.009532175767662077,0.12437137961387634,0.19243712723255157,0.20466327667236328,0.33735591173171997,0.06806574761867523,0.1326926350593567
single,chubby,diff_means,13,pos,0.012179553047833247,0.19021138548851013,0.1983317732810974,0.32694876194000244,0.351614385843277,0.00812038779258728,0.024665623903274536
single,chubby,diff_means,13,neg,0.0029129252449668908,0.1318843960762024,0.19855397939682007,0.21320830285549164,0.35528168082237244,0.06666958332061768,0.1420733779668808
single,chubby,diff_means,14,pos,0.0007420356139848927,0.199494868516922,0.20719853043556213,0.3248913884162903,0.3451894521713257,0.007703661918640137,0.0202980637550354
single,chubby,diff_means,14,neg,0.0,0.14606380462646484,0.19074025750160217,0.23775307834148407,0.35627809166908264,0.04467645287513733,0.11852501332759857
single,chubby,diff_means,15,pos,0.00694906752896407,0.18010154366493225,0.18806642293930054,0.30834880471229553,0.34375643730163574,0.007964879274368286,0.03540763258934021
single,chubby,diff_means,15,neg,0.0,0.13505516946315765,0.18530826270580292,0.21840214729309082,0.3520139157772064,0.050253093242645264,0.1336117684841156
single,chubby,diff_means,16,pos,0.017562094762015645,0.18693584203720093,0.19680753350257874,0.3187583088874817,0.35069170594215393,0.009871691465377808,0.03193339705467224
single,chubby,diff_means,16,neg,0.0015532675063152368,0.14759649336338043,0.1924508512020111,0.23428070545196533,0.352105975151062,0.044854357838630676,0.11782526969909668
single,chubby,diff_means,17,pos,0.01684832747042808,0.18722859025001526,0.1995665282011032,0.3117867708206177,0.34285491704940796,0.012337937951087952,0.031068146228790283
