concept,method,debias_layer,downstream_layer,layers_after,label,mmd2
chubby,diff_means,0,0,0,pos,0.4578583835675497
chubby,diff_means,0,0,0,neg,0.46213361407420206
chubby,diff_means,0,1,1,pos,0.22209320848027225
chubby,diff_means,0,1,1,neg,0.20350878788767046
chubby,diff_means,0,2,2,pos,0.1458230531590079
chubby,diff_means,0,2,2,neg,0.13728548219849235
chubby,diff_means,0,3,3,pos,0.11306846549707483
chubby,diff_means,0,3,3,neg,0.11275302866068748
chubby,diff_means,0,4,4,pos,0.06389738524201416
chubby,diff_means,0,4,4,neg,0.06199366647992699
chubby,diff_means,0,5,5,pos,0.035574858767745354
chubby,diff_means,0,5,5,neg,0.035536708529502414
chubby,diff_means,0,6,6,pos,0.02293106900085351
chubby,diff_means,0,6,6,neg,0.024379904916021156
chubby,diff_means,0,7,7,pos,0.012820529502579836
chubby,diff_means,0,7,7,neg,0.014562968468863513
chubby,diff_means,0,8,8,pos,0.004656834349637817
chubby,diff_means,0,8,8,neg,0.007671796701830713
chubby,diff_means,0,9,9,pos,0.0007118843431792587
chubby,diff_means,0,9,9,neg,0.003518416378936351
chubby,diff_means,0,10,10,pos,0.0
chubby,diff_means,0,10,10,neg,0.002638907351509401
chubby,diff_means,0,11,11,pos,0.0
chubby,diff_means,0,11,11,neg,0.0015665799234085842
chubby,diff_means,0,12,12,pos,0.0
chubby,diff_means,0,12,12,neg,0.0015851553830730225
chubby,diff_means,0,13,13,pos,0.0
chubby,diff_means,0,13,13,neg,9.784205811502744e-05
chubby,diff_means,0,14,14,pos,0.0
chubby,diff_means,0,14,14,neg,0.0007380522865323424
chubby,diff_means,0,15,15,pos,0.0
chubby,diff_means,0,15,15,neg,0.000145387808114128
chubby,diff_means,0,16,16,pos,0.0
chubby,diff_means,0,16,16,neg,0.00039662854988287144
chubby,diff_means,0,17,17,pos,0.0
chubby,diff_means,0,17,17,neg,0.0
chubby,diff_means,0,18,18,pos,0.0
chubby,diff_means,0,18,18,neg,0.0
chubby,diff_means,0,19,19,pos,0.0
chubby,diff_means,0,19,19,neg,0.0
chubby,diff_means,0,20,20,pos,0.0
chubby,diff_means,0,20,20,neg,0.0
chubby,diff_means,0,21,21,pos,0.0
chubby,diff_means,0,21,21,neg,0.0
chubby,diff_means,0,22,22,pos,0.0
chubby,diff_means,0,22,22,neg,0.0
chubby,diff_means,0,23,23,pos,0.0
chubby,diff_means,0,23,23,neg,0.0
chubby,diff_means,1,1,0,pos,0.10868349875853744
chubby,diff_means,1,1,0,neg,0.0832177233623248
chubby,diff_means,1,2,1,pos,0.06300447031514445
chubby,diff_means,1,2,1,neg,0.04196214974044943
chubby,diff_means,1,3,2,pos,0.0437286307555429
chubby,diff_means,1,3,2,neg,0.03135632341647332
chubby,diff_means,1,4,3,pos,0.024103896214423104
chubby,diff_means,1,4,3,neg,0.01829870518008936
chubby,diff_means,1,5,4,pos,0.011548865880884884
chubby,diff_means,1,5,4,neg,0.011109219436972184
chubby,diff_means,1,6,5,pos,0.005683257719499624
chubby,diff_means,1,6,5,neg,0.005728970360438179
chubby,diff_means,1,7,6,pos,0.001425568935532695
chubby,diff_means,1,7,6,neg,0.0030472167825914553
chubby,diff_means,1,8,7,pos,0.0
chubby,diff_means,1,8,7,neg,0.0015355583460936462
chubby,diff_means,1,9,8,pos,0.0
chubby,diff_means,1,9,8,neg,0.0001688118576186337
chubby,diff_means,1,10,9,pos,0.0
chubby,diff_means,1,10,9,neg,0.0003362056003097802
chubby,diff_means,1,11,10,pos,0.0
chubby,diff_means,1,11,10,neg,0.0
chubby,diff_means,1,12,11,pos,0.0
chubby,diff_means,1,12,11,neg,0.0
chubby,diff_means,1,13,12,pos,0.0
chubby,diff_means,1,13,12,neg,0.0
chubby,diff_means,1,14,13,pos,0.0
chubby,diff_means,1,14,13,neg,0.0
chubby,diff_means,1,15,14,pos,0.0
chubby,diff_means,1,15,14,neg,0.0
chubby,diff_means,1,16,15,pos,0.0
chubby,diff_means,1,16,15,neg,0.0
chubby,diff_means,1,17,16,pos,0.0
chubby,diff_means,1,17,16,neg,0.0
chubby,diff_means,1,18,17,pos,0.0
chubby,diff_means,1,18,17,neg,0.0
chubby,diff_means,1,19,18,pos,0.0
chubby,diff_means,1,19,18,neg,0.0
chubby,diff_means,1,20,19,pos,0.0
chubby,diff_means,1,20,19,neg,0.0
chubby,diff_means,1,21,20,pos,0.0
chubby,diff_means,1,21,20,neg,0.0
chubby,diff_means,1,22,21,pos,0.0
chubby,diff_means,1,22,21,neg,0.0
chubby,diff_means,1,23,22,pos,0.0
chubby,diff_means,1,23,22,neg,0.0
chubby,diff_means,2,2,0,pos,0.03229289995618112
chubby,diff_means,2,2,0,neg,0.01550166676609055
chubby,diff_means,2,3,1,pos,0.021365161228447338
chubby,diff_means,2,3,1,neg,0.01214697793290953
chubby,diff_means,2,4,2,pos,0.010298361736820638
chubby,diff_means,2,4,2,neg,0.007238641563396042
chubby,diff_means,2,5,3,pos,0.003960731784687477
chubby,diff_means,2,5,3,neg,0.003333816284543323
chubby,diff_means,2,6,4,pos,0.0008967346050645641
chubby,diff_means,2,6,4,neg,0.0017718887886328805
chubby,diff_means,2,7,5,pos,0.0
chubby,diff_means,2,7,5,neg,0.000552593136959878
chubby,diff_means,2,8,6,pos,0.0
chubby,diff_means,2,8,6,neg,0.0
chubby,diff_means,2,9,7,pos,0.0
chubby,diff_means,2,9,7,neg,0.0
chubby,diff_means,2,10,8,pos,0.0
chubby,diff_means,2,10,8,neg,0.0
chubby,diff_means,2,11,9,pos,0.0
chubby,diff_means,2,11,9,neg,0.0
chubby,diff_means,2,12,10,pos,0.0
