concept,method,layer,label,mmd2
eyeglasses,diff_means,0,pos,0.834800895985755
eyeglasses,diff_means,0,neg,0.9516342740714846
eyeglasses,diff_means,1,pos,0.4216133857378397
eyeglasses,diff_means,1,neg,0.44586206040915943
eyeglasses,diff_means,2,pos,0.3004982089010939
eyeglasses,diff_means,2,neg,0.3147476046799864
eyeglasses,diff_means,3,pos,0.3908942511943816
eyeglasses,diff_means,3,neg,0.4252219554266523
eyeglasses,diff_means,4,pos,1.118303386409978
eyeglasses,diff_means,4,neg,1.1866454691882327
eyeglasses,diff_means,5,pos,0.6861283478200314
eyeglasses,diff_means,5,neg,0.8039155784403941
eyeglasses,diff_means,6,pos,0.5269658858588814
eyeglasses,diff_means,6,neg,0.5867909800842741
eyeglasses,diff_means,7,pos,0.39722003712817977
eyeglasses,diff_means,7,neg,0.4379581542302683
eyeglasses,diff_means,8,pos,0.28731479574938845
eyeglasses,diff_means,8,neg,0.2893343301481355
eyeglasses,diff_means,9,pos,0.1685449916924433
eyeglasses,diff_means,9,neg,0.16927645665963342
eyeglasses,diff_means,10,pos,0.12594374257584784
eyeglasses,diff_means,10,neg,0.11856804552476108
eyeglasses,diff_means,11,pos,0.08964715881050078
eyeglasses,diff_means,11,neg,0.08637987517018852
eyeglasses,diff_means,12,pos,0.09319714991400652
eyeglasses,diff_means,12,neg,0.08874883595425276
eyeglasses,diff_means,13,pos,0.08603723201362357
eyeglasses,diff_means,13,neg,0.08968223448014823
eyeglasses,diff_means,14,pos,0.07476345495973757
eyeglasses,diff_means,14,neg,0.07729367346074878
eyeglasses,diff_means,15,pos,0.05636798844983737
eyeglasses,diff_means,15,neg,0.0631423913834892
eyeglasses,diff_means,16,pos,0.05103511661640914
eyeglasses,diff_means,16,neg,0.05755664329044441
eyeglasses,diff_means,17,pos,0.04180305690342645
eyeglasses,diff_means,17,neg,0.04429838757676374
eyeglasses,diff_means,18,pos,0.04463352325128933
eyeglasses,diff_means,18,neg,0.037623601633471226
eyeglasses,diff_means,19,pos,0.027327657146998918
eyeglasses,diff_means,19,neg,0.02754757488929971
eyeglasses,diff_means,20,pos,0.020191209961965884
eyeglasses,diff_means,20,neg,0.01953103521451105
eyeglasses,diff_means,21,pos,0.02457017598876532
eyeglasses,diff_means,21,neg,0.015317444516620649
eyeglasses,diff_means,22,pos,0.016062325991522464
eyeglasses,diff_means,22,neg,0.008982593533912064
eyeglasses,diff_means,23,pos,0.006814508410853293
eyeglasses,diff_means,23,neg,0.010328362282890913
eyeglasses,lr,0,pos,0.0
eyeglasses,lr,0,neg,0.0034164129699465473
eyeglasses,lr,1,pos,0.0
eyeglasses,lr,1,neg,7.216609780202887e-05
eyeglasses,lr,2,pos,0.0
eyeglasses,lr,2,neg,0.0006090541525949345
eyeglasses,lr,3,pos,0.3143227758561504
eyeglasses,lr,3,neg,0.3450846617280825
eyeglasses,lr,4,pos,0.400361930543107
eyeglasses,lr,4,neg,0.40493367384047385
eyeglasses,lr,5,pos,0.40031789241158733
eyeglasses,lr,5,neg,0.4416489871088124
eyeglasses,lr,6,pos,0.26034183475075423
eyeglasses,lr,6,neg,0.2851865906112463
eyeglasses,lr,7,pos,0.1756564090685937
eyeglasses,lr,7,neg,0.18941263000479225
eyeglasses,lr,8,pos,0.11380835917647358
eyeglasses,lr,8,neg,0.11982837089112275
eyeglasses,lr,9,pos,0.06406036762976552
eyeglasses,lr,9,neg,0.06389627480324345
eyeglasses,lr,10,pos,0.03806870460062184
eyeglasses,lr,10,neg,0.03984954501451865
eyeglasses,lr,11,pos,0.02261609581097468
eyeglasses,lr,11,neg,0.02903596239097972
eyeglasses,lr,12,pos,0.014902934339028118
eyeglasses,lr,12,neg,0.02053214523553004
eyeglasses,lr,13,pos,0.013280360977110828
eyeglasses,lr,13,neg,0.020853734051354378
eyeglasses,lr,14,pos,0.010415975387979781
eyeglasses,lr,14,neg,0.018582987382778304
eyeglasses,lr,15,pos,0.006339163136008574
eyeglasses,lr,15,neg,0.014014142331426838
eyeglasses,lr,16,pos,0.004075193732991034
eyeglasses,lr,16,neg,0.011785784110631248
eyeglasses,lr,17,pos,0.004652053494293762
eyeglasses,lr,17,neg,0.008765691653821017
eyeglasses,lr,18,pos,0.006251620707996786
eyeglasses,lr,18,neg,0.0067764644126460105
eyeglasses,lr,19,pos,0.003572431219627692
eyeglasses,lr,19,neg,0.004273248177307121
eyeglasses,lr,20,pos,0.0015303983943766308
eyeglasses,lr,20,neg,0.0044184903428161615
eyeglasses,lr,21,pos,0.0014181386257638984
