concept,method,debias_layer,downstream_layer,layers_after,label,mmd2
eyeglasses,diff_means,0,0,0,pos,0.8351194012968391
eyeglasses,diff_means,0,0,0,neg,0.9589105239111512
eyeglasses,diff_means,0,1,1,pos,0.4439562012437829
eyeglasses,diff_means,0,1,1,neg,0.48106335451599513
eyeglasses,diff_means,0,2,2,pos,0.2929267355402274
eyeglasses,diff_means,0,2,2,neg,0.31878284628887266
eyeglasses,diff_means,0,3,3,pos,0.23058169827681696
eyeglasses,diff_means,0,3,3,neg,0.24521081414652235
eyeglasses,diff_means,0,4,4,pos,0.14584880422284852
eyeglasses,diff_means,0,4,4,neg,0.154875053713859
eyeglasses,diff_means,0,5,5,pos,0.08275305600258775
eyeglasses,diff_means,0,5,5,neg,0.09113580176209757
eyeglasses,diff_means,0,6,6,pos,0.05416501493953674
eyeglasses,diff_means,0,6,6,neg,0.06112562530841492
eyeglasses,diff_means,0,7,7,pos,0.03452792686652417
eyeglasses,diff_means,0,7,7,neg,0.04046601059259891
eyeglasses,diff_means,0,8,8,pos,0.01553194746515496
eyeglasses,diff_means,0,8,8,neg,0.020577303248221712
eyeglasses,diff_means,0,9,9,pos,0.006030174176398617
eyeglasses,diff_means,0,9,9,neg,0.009943009374018263
eyeglasses,diff_means,0,10,10,pos,0.002281726055579414
eyeglasses,diff_means,0,10,10,neg,0.006309611418016781
eyeglasses,diff_means,0,11,11,pos,0.0
eyeglasses,diff_means,0,11,11,neg,0.0031663961512164995
eyeglasses,diff_means,0,12,12,pos,0.0
eyeglasses,diff_means,0,12,12,neg,0.0024655563089837074
eyeglasses,diff_means,0,13,13,pos,0.0
eyeglasses,diff_means,0,13,13,neg,0.0008526777678303787
eyeglasses,diff_means,0,14,14,pos,0.0
eyeglasses,diff_means,0,14,14,neg,0.0004301485545281647
eyeglasses,diff_means,0,15,15,pos,0.0
eyeglasses,diff_means,0,15,15,neg,3.723615024009419e-05
eyeglasses,diff_means,0,16,16,pos,0.0
eyeglasses,diff_means,0,16,16,neg,5.463674481331893e-05
eyeglasses,diff_means,0,17,17,pos,0.0
eyeglasses,diff_means,0,17,17,neg,0.0
eyeglasses,diff_means,0,18,18,pos,0.0
eyeglasses,diff_means,0,18,18,neg,0.0
eyeglasses,diff_means,0,19,19,pos,0.0
eyeglasses,diff_means,0,19,19,neg,0.0
eyeglasses,diff_means,0,20,20,pos,0.0
eyeglasses,diff_means,0,20,20,neg,0.0
eyeglasses,diff_means,0,21,21,pos,0.0
eyeglasses,diff_means,0,21,21,neg,0.0
eyeglasses,diff_means,0,22,22,pos,0.0
eyeglasses,diff_means,0,22,22,neg,0.0
eyeglasses,diff_means,0,23,23,pos,0.0
eyeglasses,diff_means,0,23,23,neg,0.0
eyeglasses,diff_means,1,1,0,pos,0.04299338769836858
eyeglasses,diff_means,1,1,0,neg,0.05980534530977577
eyeglasses,diff_means,1,2,1,pos,0.023712331076114257
eyeglasses,diff_means,1,2,1,neg,0.03522421360236638
eyeglasses,diff_means,1,3,2,pos,0.014688892502900286
