concept,method,layer,label,mmd2
eyeglasses,diff_means,0,pos,0.8351249915040039
eyeglasses,diff_means,0,neg,0.952036374344341
eyeglasses,diff_means,1,pos,0.42240465010352957
eyeglasses,diff_means,1,neg,0.44697321805339996
eyeglasses,diff_means,2,pos,0.282336058655688
eyeglasses,diff_means,2,neg,0.29769301080682586
eyeglasses,diff_means,3,pos,0.43586529086099723
eyeglasses,diff_means,3,neg,0.4779513904853593
eyeglasses,diff_means,4,pos,0.4942945511606669
eyeglasses,diff_means,4,neg,0.5264689749208955
eyeglasses,diff_means,5,pos,0.4243696042780132
eyeglasses,diff_means,5,neg,0.4840974425722955
eyeglasses,diff_means,6,pos,0.44864504966476826
eyeglasses,diff_means,6,neg,0.49303836627860875
eyeglasses,diff_means,7,pos,0.31980549807038816
eyeglasses,diff_means,7,neg,0.3346473425691554
eyeglasses,diff_means,8,pos,0.18940069535678128
eyeglasses,diff_means,8,neg,0.19043800542811185
eyeglasses,diff_means,9,pos,0.11061919211352089
eyeglasses,diff_means,9,neg,0.11283991771628066
eyeglasses,diff_means,10,pos,0.08100676068402013
eyeglasses,diff_means,10,neg,0.07738722699487632
eyeglasses,diff_means,11,pos,0.05571023270262443
eyeglasses,diff_means,11,neg,0.05793111011830909
eyeglasses,diff_means,12,pos,0.050350894230303256
eyeglasses,diff_means,12,neg,0.053162129684054094
eyeglasses,diff_means,13,pos,0.04358939635959458
eyeglasses,diff_means,13,neg,0.049814799165700085
eyeglasses,diff_means,14,pos,0.04549322615137785
eyeglasses,diff_means,14,neg,0.05649483477339312
eyeglasses,diff_means,15,pos,0.033565045590108644
eyeglasses,diff_means,15,neg,0.045384216865426596
eyeglasses,diff_means,16,pos,0.029431981556725217
eyeglasses,diff_means,16,neg,0.038210336308257764
eyeglasses,diff_means,17,pos,0.02406840562225554
eyeglasses,diff_means,17,neg,0.03016970839051103
eyeglasses,diff_means,18,pos,0.031173600455616457
eyeglasses,diff_means,18,neg,0.027019252899250112
eyeglasses,diff_means,19,pos,0.017241875259415007
eyeglasses,diff_means,19,neg,0.02032914990616419
eyeglasses,diff_means,20,pos,0.013853856052538083
eyeglasses,diff_means,20,neg,0.013676068588563295
