concept,method,debias_layer,downstream_layer,layers_after,label,mmd2
eyeglasses,diff_means,0,0,0,pos,0.8351194012968391
eyeglasses,diff_means,0,0,0,neg,0.9589105239111512
eyeglasses,diff_means,0,1,1,pos,0.443967225007072
eyeglasses,diff_means,0,1,1,neg,0.48103218456621843
eyeglasses,diff_means,0,2,2,pos,0.292956145005129
eyeglasses,diff_means,0,2,2,neg,0.3187874047083843
eyeglasses,diff_means,0,3,3,pos,0.23057724518627776
eyeglasses,diff_means,0,3,3,neg,0.24529805609670685
eyeglasses,diff_means,0,4,4,pos,0.14591323200137474
eyeglasses,diff_means,0,4,4,neg,0.15497546934769235
eyeglasses,diff_means,0,5,5,pos,0.08279632872885823
eyeglasses,diff_means,0,5,5,neg,0.09115808467669018
eyeglasses,diff_means,0,6,6,pos,0.05416947177221587
eyeglasses,diff_means,0,6,6,neg,0.06114038557102397
eyeglasses,diff_means,0,7,7,pos,0.034542559106712334
eyeglasses,diff_means,0,7,7,neg,0.040496783521180246
eyeglasses,diff_means,0,8,8,pos,0.015528992668459418
eyeglasses,diff_means,0,8,8,neg,0.020566328307629167
eyeglasses,diff_means,0,9,9,pos,0.0060333386819990675
eyeglasses,diff_means,0,9,9,neg,0.009933407333260647
eyeglasses,diff_means,0,10,10,pos,0.0022823291192284323
eyeglasses,diff_means,0,10,10,neg,0.006305294404759687
eyeglasses,diff_means,0,11,11,pos,0.0
eyeglasses,diff_means,0,11,11,neg,0.003168703771362802
eyeglasses,diff_means,0,12,12,pos,0.0
eyeglasses,diff_means,0,12,12,neg,0.00247359219824439
eyeglasses,diff_means,0,13,13,pos,0.0
eyeglasses,diff_means,0,13,13,neg,0.0008518089743310142
eyeglasses,diff_means,0,14,14,pos,0.0
eyeglasses,diff_means,0,14,14,neg,0.00041226284754203313
eyeglasses,diff_means,0,15,15,pos,0.0
eyeglasses,diff_means,0,15,15,neg,2.8572147273697723e-05
eyeglasses,diff_means,0,16,16,pos,0.0
eyeglasses,diff_means,0,16,16,neg,5.024332463654524e-05
eyeglasses,diff_means,0,17,17,pos,0.0
eyeglasses,diff_means,0,17,17,neg,0.0
eyeglasses,diff_means,0,18,18,pos,0.0
eyeglasses,diff_means,0,18,18,neg,0.0
eyeglasses,diff_means,0,19,19,pos,0.0
eyeglasses,diff_means,0,19,19,neg,0.0
eyeglasses,diff_means,0,20,20,pos,0.0
eyeglasses,diff_means,0,20,20,neg,0.0
eyeglasses,diff_means,0,21,21,pos,0.0
eyeglasses,diff_means,0,21,21,neg,0.0
eyeglasses,diff_means,0,22,22,pos,0.0
eyeglasses,diff_means,0,22,22,neg,0.0
eyeglasses,diff_means,0,23,23,pos,0.0
eyeglasses,diff_means,0,23,23,neg,0.0
eyeglasses,diff_means,1,1,0,pos,0.04299338769836858
eyeglasses,diff_means,1,1,0,neg,0.05980534530977577
eyeglasses,diff_means,1,2,1,pos,0.02371343089042388
eyeglasses,diff_means,1,2,1,neg,0.03522386204213168
eyeglasses,diff_means,1,3,2,pos,0.014696257469926532
