regime,concept,method,layer,label,mmd2,abs_skew_pre,abs_skew_post,abs_kurt_pre,abs_kurt_post,delta_skew,delta_kurt
single,male,diff_means,0,pos,0.26238104015621455,0.2748967409133911,0.2594263553619385,0.7257770299911499,0.614815354347229,-0.015470385551452637,-0.1109616756439209
single,male,diff_means,0,neg,0.21320519863192366,0.3426887094974518,0.38021016120910645,0.8772174119949341,1.0345118045806885,0.03752145171165466,0.1572943925857544
single,male,diff_means,1,pos,0.05205245987254048,0.23096585273742676,0.28121939301490784,0.3989081382751465,0.4929947555065155,0.05025354027748108,0.09408661723136902
single,male,diff_means,1,neg,0.11601891031778955,0.28186559677124023,0.3291170597076416,0.5562134981155396,0.7178197503089905,0.04725146293640137,0.16160625219345093
single,male,diff_means,2,pos,0.16295409088287327,0.21717503666877747,0.2801360785961151,0.3251396417617798,0.4244334101676941,0.06296104192733765,0.0992937684059143
single,male,diff_means,2,neg,0.2284055927443962,0.2724802494049072,0.32740485668182373,0.45392364263534546,0.5922636985778809,0.054924607276916504,0.1383400559425354
single,male,diff_means,3,pos,0.14599370367031872,0.18155527114868164,0.24772335588932037,0.2766279876232147,0.41081947088241577,0.06616808474063873,0.13419148325920105
single,male,diff_means,3,neg,0.21684103662852872,0.2324802428483963,0.2862268090248108,0.3814689517021179,0.5148142576217651,0.05374656617641449,0.13334530591964722
single,male,diff_means,4,pos,0.024513894198295638,0.15915465354919434,0.2331254482269287,0.2517201900482178,0.38237500190734863,0.07397079467773438,0.13065481185913086
single,male,diff_means,4,neg,0.00041715324666746767,0.20274107158184052,0.24545001983642578,0.32596322894096375,0.42508500814437866,0.042708948254585266,0.09912177920341492
single,male,diff_means,5,pos,0.11055114260309917,0.1848943531513214,0.2342565357685089,0.27201980352401733,0.377652108669281,0.0493621826171875,0.10563230514526367
single,male,diff_means,5,neg,0.06052820503601675,0.23009219765663147,0.2797173857688904,0.3733617663383484,0.47417545318603516,0.04962518811225891,0.10081368684768677
single,male,diff_means,6,pos,0.07369347026640316,0.185942605137825,0.22868573665618896,0.2913057208061218,0.3888465166091919,0.04274313151836395,0.09754079580307007
single,male,diff_means,6,neg,0.02752413631373929,0.22836969792842865,0.2788662314414978,0.38227760791778564,0.4790053963661194,0.05049653351306915,0.09672778844833374
single,male,diff_means,7,pos,0.019055899963893674,0.20379690825939178,0.24091747403144836,0.3309897184371948,0.40740278363227844,0.03712056577205658,0.07641306519508362
single,male,diff_means,7,neg,0.0,0.2463955581188202,0.3020116090774536,0.44264811277389526,0.5569061636924744,0.05561605095863342,0.1142580509185791
single,male,diff_means,8,pos,0.003651550218003674,0.18935149908065796,0.23960453271865845,0.30159318447113037,0.4093351364135742,0.05025303363800049,0.10774195194244385
single,male,diff_means,8,neg,0.0,0.22649793326854706,0.28754329681396484,0.42483097314834595,0.552796483039856,0.061045363545417786,0.12796550989151
single,male,diff_means,9,pos,0.0025134959631021303,0.1569400131702423,0.2162107676267624,0.24889887869358063,0.41288334131240845,0.05927075445652008,0.16398446261882782
single,male,diff_means,9,neg,0.0,0.19144657254219055,0.2478695809841156,0.35500940680503845,0.45596158504486084,0.05642300844192505,0.10095217823982239
single,male,diff_means,10,pos,0.023222341500392485,0.15721148252487183,0.21607838571071625,0.2610708475112915,0.399441659450531,0.05886690318584442,0.1383708119392395
single,male,diff_means,10,neg,0.001199410891660424,0.1889079213142395,0.2412235140800476,0.335480272769928,0.41393545269966125,0.052315592765808105,0.07845517992973328
single,male,diff_means,11,pos,0.029170974555026152,0.1497933566570282,0.20678286254405975,0.225091353058815,0.3719738721847534,0.056989505887031555,0.14688251912593842
single,male,diff_means,11,neg,0.0057567382316126015,0.18803858757019043,0.23737412691116333,0.3411654233932495,0.45820581912994385,0.0493355393409729,0.11704039573669434
single,male,diff_means,12,pos,0.0300726596389298,0.13204172253608704,0.18865570425987244,0.20287175476551056,0.3473384380340576,0.0566139817237854,0.14446668326854706
single,male,diff_means,12,neg,0.005837456204984548,0.16288574039936066,0.21170374751091003,0.2913663983345032,0.40296241641044617,0.04881800711154938,0.111596018075943
single,male,diff_means,13,pos,0.012563035474160156,0.13862493634223938,0.20211000740528107,0.21927803754806519,0.37164849042892456,0.06348507106304169,0.15237045288085938
single,male,diff_means,13,neg,0.0,0.16505979001522064,0.20740333199501038,0.2832495868206024,0.39112287759780884,0.042343541979789734,0.10787329077720642
single,male,diff_means,14,pos,0.0020570063942968453,0.15510082244873047,0.21401476860046387,0.2328229695558548,0.3635105490684509,0.0589139461517334,0.13068757951259613
single,male,diff_means,14,neg,0.0,0.17800334095954895,0.2270297408103943,0.32027667760849,0.4346059560775757,0.04902639985084534,0.1143292784690857
single,male,diff_means,15,pos,0.0008696454084076155,0.14156463742256165,0.20858915150165558,0.22047457098960876,0.3649389147758484,0.06702451407909393,0.14446434378623962
single,male,diff_means,15,neg,0.0,0.1726125180721283,0.2084917277097702,0.30330824851989746,0.3852079510688782,0.03587920963764191,0.08189970254898071
