concept,method,layer,label,mmd2
male,diff_means,0,pos,0.2604304019527801
male,diff_means,0,neg,0.21508482695876086
male,diff_means,1,pos,0.3492465394986135
male,diff_means,1,neg,0.38841138076149684
male,diff_means,2,pos,0.35174092841940197
male,diff_means,2,neg,0.4017040609628657
male,diff_means,3,pos,0.792401438920231
male,diff_means,3,neg,0.8300844519467595
male,diff_means,4,pos,0.4378611673857655
male,diff_means,4,neg,0.4532775106172767
male,diff_means,5,pos,0.277361833553039
male,diff_means,5,neg,0.28281296616465057
male,diff_means,6,pos,0.22396781285755707
male,diff_means,6,neg,0.20443973813081806
male,diff_means,7,pos,0.15288878707329578
male,diff_means,7,neg,0.15025793100214457
male,diff_means,8,pos,0.07701114161918166
male,diff_means,8,neg,0.07523576131130083
male,diff_means,9,pos,0.04329784773612655
male,diff_means,9,neg,0.038156084495373666
male,diff_means,10,pos,0.04995913176781164
male,diff_means,10,neg,0.029407014579257096
male,diff_means,11,pos,0.03698371163328518
male,diff_means,11,neg,0.019282506017308076
male,diff_means,12,pos,0.02902473980085407
male,diff_means,12,neg,0.014907183856893935
male,diff_means,13,pos,0.022624025669879533
male,diff_means,13,neg,0.01267603683638141
male,diff_means,14,pos,0.02024226002495988
male,diff_means,14,neg,0.009257867334507397
male,diff_means,15,pos,0.015505119739307016
male,diff_means,15,neg,0.00689572555020268
male,diff_means,16,pos,0.0179335495529811
male,diff_means,16,neg,0.004715873565342754
male,diff_means,17,pos,0.010615179494939175
male,diff_means,17,neg,0.011336298398656464
male,diff_means,18,pos,0.016209237897536033
male,diff_means,18,neg,0.006687155611363238
male,diff_means,19,pos,0.00996359691053561
male,diff_means,19,neg,0.032764208986365784
male,diff_means,20,pos,0.010050002355242116
male,diff_means,20,neg,0.022817220498478452
male,diff_means,21,pos,0.008862359538450937
male,diff_means,21,neg,0.015190711815052937
male,diff_means,22,pos,0.003732761571838772
male,diff_means,22,neg,0.02914095912613246
male,diff_means,23,pos,0.008722843275175807
male,diff_means,23,neg,0.023087835271797585
male,lr,0,pos,0.0009435201191057008
male,lr,0,neg,0.0
male,lr,1,pos,0.0013898035817017096
male,lr,1,neg,0.0009486439734185392
male,lr,2,pos,0.0013876501273517583
male,lr,2,neg,0.0009454472512184786
male,lr,3,pos,0.17775637740479344
male,lr,3,neg,0.20983359827702075
male,lr,4,pos,0.2218020115331094
male,lr,4,neg,0.19081082475258881
male,lr,5,pos,0.2871825888930615
male,lr,5,neg,0.23077959432723882
male,lr,6,pos,0.1888108049269499
male,lr,6,neg,0.13814293958915203
male,lr,7,pos,0.14730445882288534
male,lr,7,neg,0.10267245967015137
male,lr,8,pos,0.13866657177891284
male,lr,8,neg,0.14022689922862086
male,lr,9,pos,0.0695384220556221
male,lr,9,neg,0.07292671666939543
male,lr,10,pos,0.04707981838010955
male,lr,10,neg,0.041634961116588265
male,lr,11,pos,0.02803339254035353
male,lr,11,neg,0.02381200680153306
male,lr,12,pos,0.018721897248688224
male,lr,12,neg,0.017693537819104765
male,lr,13,pos,0.016354538790737783
male,lr,13,neg,0.012885883516042362
male,lr,14,pos,0.010100468629749892
male,lr,14,neg,0.01117166447472373
male,lr,15,pos,0.011815233737987096
male,lr,15,neg,0.00654960768703905
male,lr,16,pos,0.013245897580652644
male,lr,16,neg,0.004103434492313207
male,lr,17,pos,0.00861747544014313
male,lr,17,neg,0.006498291455802496
male,lr,18,pos,0.008691123479466434
male,lr,18,neg,0.006187219729740345
male,lr,19,pos,0.0034526768319116385
male,lr,19,neg,0.017157926148361202
male,lr,20,pos,0.0022299892067196847
male,lr,20,neg,0.015933231724057473
male,lr,21,pos,0.0022272728510464024
male,lr,21,neg,0.015595820508811808
male,lr,22,pos,0.000450500542518828
male,lr,22,neg,0.01796827640374654
male,lr,23,pos,0.0022456986408105895
male,lr,23,neg,0.022020327485429148
male,pclarc,0,pos,0.0058535546662368265
male,pclarc,0,neg,0.001806970515936035
male,pclarc,1,pos,0.010421834660086837
male,pclarc,1,neg,0.00044585638524186066
male,pclarc,2,pos,0.008048943719747736
male,pclarc,2,neg,0.0
male,pclarc,3,pos,0.010203145938464386
male,pclarc,3,neg,0.0
male,pclarc,4,pos,0.011795192202832983
male,pclarc,4,neg,0.0
male,pclarc,5,pos,0.012530849779462061
male,pclarc,5,neg,0.0
male,pclarc,6,pos,0.011155393670727376
male,pclarc,6,neg,0.0
male,pclarc,7,pos,0.010427801283076965
male,pclarc,7,neg,0.0
male,pclarc,8,pos,0.009464899495572165
male,pclarc,8,neg,0.0
male,pclarc,9,pos,0.009895750634633549
male,pclarc,9,neg,0.0
male,pclarc,10,pos,0.009813953876997461
male,pclarc,10,neg,0.0
male,pclarc,11,pos,0.009176135632928739
male,pclarc,11,neg,0.0
male,pclarc,12,pos,0.00861740532354216
male,pclarc,12,neg,0.0
male,pclarc,13,pos,0.008553480354383636
male,pclarc,13,neg,0.0
male,pclarc,14,pos,0.0075831860480852775
male,pclarc,14,neg,0.0
male,pclarc,15,pos,0.015218017584699872
male,pclarc,15,neg,0.0
male,pclarc,16,pos,0.01876158683758078
male,pclarc,16,neg,0.0
