layer,concept,label,n,pca_k,pca_var_explained,frac_normal_marg,mean_skew,mean_kurt,mean_abs_skew,mean_abs_kurt,frac_normal_pca,mean_skew_pca,mean_kurt_pca
0,male,pos,458,8,0.9507309794425964,0.326171875,-0.03361109271645546,0.38637685775756836,0.2748967409133911,0.7257770299911499,0.125,0.20663177967071533,0.9429335594177246
0,male,neg,257,10,0.9509277939796448,0.4423828125,-0.03473825380206108,0.6817923784255981,0.3426887094974518,0.8772174119949341,0.6,0.3475117087364197,1.386014699935913
1,male,pos,458,35,0.9508916735649109,0.5302734375,-0.01847447082400322,0.25617122650146484,0.23096585273742676,0.3989081382751465,0.6285714285714286,0.0038225846365094185,0.32594648003578186
1,male,neg,257,29,0.9509848952293396,0.5810546875,-0.01500675268471241,0.43347615003585815,0.28186559677124023,0.5562134981155396,0.7241379310344828,0.0054390933364629745,0.3776055574417114
2,male,pos,458,48,0.9508333206176758,0.58203125,-0.01913350075483322,0.16410315036773682,0.21717503666877747,0.3251396417617798,0.625,-0.03486659750342369,0.25228333473205566
2,male,neg,257,40,0.9509564638137817,0.6376953125,-0.010212695226073265,0.28631624579429626,0.2724802494049072,0.45392364263534546,0.65,-0.04614872485399246,0.36546793580055237
3,male,pos,458,62,0.9507191181182861,0.6806640625,-0.010523543693125248,0.10966237634420395,0.18155527114868164,0.2766279876232147,0.7419354838709677,-0.019888577982783318,0.21429859101772308
3,male,neg,257,49,0.9500030279159546,0.71484375,-5.534058436751366e-05,0.2054329365491867,0.2324802428483963,0.3814689517021179,0.8367346938775511,-0.02224770560860634,0.33138033747673035
4,male,pos,458,65,0.9502847790718079,0.7568359375,-0.001733884448185563,0.09990548342466354,0.15915465354919434,0.2517201900482178,0.7846153846153846,-0.012890350073575974,0.14994816482067108
4,male,neg,257,52,0.9502755403518677,0.76953125,0.005838284734636545,0.13368847966194153,0.20274107158184052,0.32596322894096375,0.8269230769230769,0.055529769510030746,0.23960964381694794
5,male,pos,458,92,0.950370192527771,0.6923828125,0.008263546973466873,0.13918519020080566,0.1848943531513214,0.27201980352401733,0.782608695652174,-0.0188802108168602,0.24362660944461823
5,male,neg,257,73,0.9500536918640137,0.71484375,0.014171498827636242,0.21188762784004211,0.23009219765663147,0.3733617663383484,0.821917808219178,-0.022616393864154816,0.18342648446559906
6,male,pos,458,115,0.9504596590995789,0.69140625,0.009285868145525455,0.18411225080490112,0.185942605137825,0.2913057208061218,0.8,0.006512920372188091,0.21446681022644043
6,male,neg,257,87,0.9503570795059204,0.724609375,0.006880630739033222,0.2242327630519867,0.22836969792842865,0.38227760791778564,0.8620689655172413,-0.02164955623447895,0.1107620820403099
7,male,pos,458,137,0.9504337906837463,0.6494140625,0.010535810142755508,0.23636509478092194,0.20379690825939178,0.3309897184371948,0.8175182481751825,0.008219536393880844,0.15489818155765533
7,male,neg,257,103,0.9505407810211182,0.6806640625,0.006203710101544857,0.29914411902427673,0.2463955581188202,0.44264811277389526,0.8155339805825242,-0.019090788438916206,0.1776985079050064
8,male,pos,458,133,0.9504897594451904,0.6494140625,0.0043003130704164505,0.1927950531244278,0.18935149908065796,0.30159318447113037,0.8571428571428571,-0.01637786440551281,0.11761876195669174
8,male,neg,257,101,0.9500728249549866,0.7177734375,-0.0011137747205793858,0.2818949818611145,0.22649793326854706,0.42483097314834595,0.8415841584158416,-0.023035351186990738,0.09487973898649216
9,male,pos,458,153,0.9503967761993408,0.7548828125,0.005192404612898827,0.13486458361148834,0.1569400131702423,0.24889887869358063,0.869281045751634,-0.005910245701670647,0.12657155096530914
9,male,neg,257,114,0.9500058889389038,0.7783203125,0.004230660852044821,0.19893969595432281,0.19144657254219055,0.35500940680503845,0.8596491228070176,0.00878384429961443,0.1543547660112381
10,male,pos,458,169,0.9505688548088074,0.75,0.0004117768257856369,0.15588940680027008,0.15721148252487183,0.2610708475112915,0.8757396449704142,0.00564453424885869,0.09678211808204651
10,male,neg,257,125,0.9508844614028931,0.796875,0.006165515165776014,0.16311803460121155,0.1889079213142395,0.335480272769928,0.896,-0.011022120714187622,0.12040633708238602
11,male,pos,458,179,0.950223445892334,0.7646484375,0.002218787558376789,0.084275022149086,0.1497933566570282,0.225091353058815,0.8770949720670391,-0.0034410806838423014,0.08994659781455994
11,male,neg,257,131,0.950553834438324,0.814453125,0.00657398346811533,0.1391163468360901,0.18803858757019043,0.3411654233932495,0.916030534351145,-0.018865814432501793,0.18552730977535248
12,male,pos,458,188,0.9501570463180542,0.8291015625,0.0076311854645609856,0.046701543033123016,0.13204172253608704,0.20287175476551056,0.8617021276595744,0.009031656198203564,0.11525221914052963
12,male,neg,257,136,0.9500696659088135,0.8603515625,0.00018828618340194225,0.07214398682117462,0.16288574039936066,0.2913663983345032,0.8602941176470589,-0.009769165888428688,0.17467759549617767
13,male,pos,458,196,0.950135350227356,0.822265625,0.006264148745685816,0.06446345150470734,0.13862493634223938,0.21927803754806519,0.8367346938775511,0.006120370235294104,0.1594984084367752
