regime,concept,method,layer,label,mmd2,abs_skew_pre,abs_skew_post,abs_kurt_pre,abs_kurt_post,delta_skew,delta_kurt
single,wearing_hat,diff_means,0,pos,0.7379161434991001,0.30248430371284485,0.31639981269836426,0.7426488995552063,0.7740589380264282,0.01391550898551941,0.031410038471221924
single,wearing_hat,diff_means,0,neg,0.8059612936960918,0.27969834208488464,0.2594398260116577,0.7536589503288269,0.6072015762329102,-0.02025851607322693,-0.14645737409591675
single,wearing_hat,diff_means,1,pos,0.4427170976981196,0.3069118857383728,0.321723997592926,0.5670122504234314,0.583930492401123,0.014812111854553223,0.01691824197769165
single,wearing_hat,diff_means,1,neg,0.5353466607308556,0.2119470089673996,0.25031334161758423,0.40560081601142883,0.4779373109340668,0.03836633265018463,0.07233649492263794
single,wearing_hat,diff_means,2,pos,0.49051079621305127,0.295598566532135,0.2965393364429474,0.49313414096832275,0.49969688057899475,0.0009407699108123779,0.006562739610671997
single,wearing_hat,diff_means,2,neg,0.599543970543587,0.2067502737045288,0.2455047369003296,0.31940776109695435,0.4221464991569519,0.03875446319580078,0.10273873805999756
single,wearing_hat,diff_means,3,pos,0.45984833646904477,0.2565575838088989,0.2616705000400543,0.44292616844177246,0.4540776014328003,0.0051129162311553955,0.011151432991027832
single,wearing_hat,diff_means,3,neg,0.5729460234721968,0.17313608527183533,0.22475877404212952,0.2686440050601959,0.3996542692184448,0.05162268877029419,0.1310102641582489
single,wearing_hat,diff_means,4,pos,0.11569794458870564,0.22294855117797852,0.22509194910526276,0.3721476197242737,0.37681567668914795,0.0021433979272842407,0.004668056964874268
single,wearing_hat,diff_means,4,neg,0.18554048302823567,0.15399369597434998,0.21648743748664856,0.24131180346012115,0.3687223196029663,0.062493741512298584,0.12741051614284515
single,wearing_hat,diff_means,5,pos,0.14305964897059398,0.21338793635368347,0.21941019594669342,0.36448484659194946,0.36630934476852417,0.006022259593009949,0.001824498176574707
single,wearing_hat,diff_means,5,neg,0.2106257893306036,0.18833568692207336,0.22819605469703674,0.27537667751312256,0.3786349296569824,0.03986036777496338,0.10325825214385986
single,wearing_hat,diff_means,6,pos,0.17910703798024086,0.2127087116241455,0.21158413589000702,0.36417922377586365,0.3727085590362549,-0.0011245757341384888,0.008529335260391235
