concept,method,layer,label,mmd2
wearing_hat,diff_means,0,pos,0.7379161434991001
wearing_hat,diff_means,0,neg,0.7996613659542099
wearing_hat,diff_means,1,pos,0.528996487575528
wearing_hat,diff_means,1,neg,0.6393852386811714
wearing_hat,diff_means,2,pos,0.35614247292184675
wearing_hat,diff_means,2,neg,0.4296973986317545
wearing_hat,diff_means,3,pos,0.41751368985740234
wearing_hat,diff_means,3,neg,0.5034486669899879
wearing_hat,diff_means,4,pos,0.35539410758154766
wearing_hat,diff_means,4,neg,0.38119469521526117
wearing_hat,diff_means,5,pos,0.21192005591923446
wearing_hat,diff_means,5,neg,0.23177423157609667
wearing_hat,diff_means,6,pos,0.14282209627393083
wearing_hat,diff_means,6,neg,0.17276245151035363
wearing_hat,diff_means,7,pos,0.14130024081055437
wearing_hat,diff_means,7,neg,0.1855984340414849
wearing_hat,diff_means,8,pos,0.06870433501251272
wearing_hat,diff_means,8,neg,0.10465782601106577
wearing_hat,diff_means,9,pos,0.06849090202774377
wearing_hat,diff_means,9,neg,0.10998319984998495
wearing_hat,diff_means,10,pos,0.04574330565932394
wearing_hat,diff_means,10,neg,0.06481013954748582
wearing_hat,diff_means,11,pos,0.026976467813152993
wearing_hat,diff_means,11,neg,0.041025489242233704
wearing_hat,diff_means,12,pos,0.02281048152309184
wearing_hat,diff_means,12,neg,0.03945087072199005
wearing_hat,diff_means,13,pos,0.01629999709970531
wearing_hat,diff_means,13,neg,0.03314032933866806
wearing_hat,diff_means,14,pos,0.0130570906274452
wearing_hat,diff_means,14,neg,0.02670753825277794
wearing_hat,diff_means,15,pos,0.00871693048453448
wearing_hat,diff_means,15,neg,0.02801423058272956
wearing_hat,diff_means,16,pos,0.006072551003285742
wearing_hat,diff_means,16,neg,0.025668359426599174
wearing_hat,diff_means,17,pos,0.004505096109447493
wearing_hat,diff_means,17,neg,0.03998768736859759
wearing_hat,diff_means,18,pos,0.006182128631447625
wearing_hat,diff_means,18,neg,0.05276504580324759
wearing_hat,diff_means,19,pos,0.0018448547285565553
wearing_hat,diff_means,19,neg,0.049694289974465455
wearing_hat,diff_means,20,pos,0.006677633143039152
wearing_hat,diff_means,20,neg,0.03686582723646592
wearing_hat,diff_means,21,pos,0.0012694848118541824
wearing_hat,diff_means,21,neg,0.031540637519919645
wearing_hat,diff_means,22,pos,0.0
wearing_hat,diff_means,22,neg,0.026922498611417156
wearing_hat,diff_means,23,pos,0.0
wearing_hat,diff_means,23,neg,0.013526546280909546
wearing_hat,lr,0,pos,0.0
wearing_hat,lr,0,neg,0.00441744350485096
wearing_hat,lr,1,pos,0.47180104880823015
wearing_hat,lr,1,neg,0.5495653407472423
wearing_hat,lr,2,pos,0.6381434098386289
wearing_hat,lr,2,neg,0.8685026986549849
wearing_hat,lr,3,pos,0.5403698391880561
wearing_hat,lr,3,neg,0.6856952228259523
wearing_hat,lr,4,pos,0.4252870251683891
wearing_hat,lr,4,neg,0.4920186903674265
wearing_hat,lr,5,pos,0.28188924076504196
wearing_hat,lr,5,neg,0.312488793276539
wearing_hat,lr,6,pos,0.19577947124971073
wearing_hat,lr,6,neg,0.2152595472901193
wearing_hat,lr,7,pos,0.12914669884460261
wearing_hat,lr,7,neg,0.14700638746725958
wearing_hat,lr,8,pos,0.06882198466531975
wearing_hat,lr,8,neg,0.08281168800598837
wearing_hat,lr,9,pos,0.04323133752625141
wearing_hat,lr,9,neg,0.0659537780684536
wearing_hat,lr,10,pos,0.028680576657329482
wearing_hat,lr,10,neg,0.041447233032882114
wearing_hat,lr,11,pos,0.016500704460555626
wearing_hat,lr,11,neg,0.023625328500691323
wearing_hat,lr,12,pos,0.014514635474027093
wearing_hat,lr,12,neg,0.018804762278601173
wearing_hat,lr,13,pos,0.011180964520793646
wearing_hat,lr,13,neg,0.016628191978824924
wearing_hat,lr,14,pos,0.011510384248551997
wearing_hat,lr,14,neg,0.017814584073794437
wearing_hat,lr,15,pos,0.00887416620949133
wearing_hat,lr,15,neg,0.014876991039405763
wearing_hat,lr,16,pos,0.005169595863390386
wearing_hat,lr,16,neg,0.014225808764148695
wearing_hat,lr,17,pos,0.0032851145302170703
wearing_hat,lr,17,neg,0.01377781790829613
wearing_hat,lr,18,pos,0.008014236553991694
wearing_hat,lr,18,neg,0.0333150644045308
wearing_hat,lr,19,pos,0.0022362238813555813
wearing_hat,lr,19,neg,0.019685610435854928
wearing_hat,lr,20,pos,0.002185022274128645
wearing_hat,lr,20,neg,0.013699792761435292
wearing_hat,lr,21,pos,0.000214675422161692
wearing_hat,lr,21,neg,0.007142349534799752
wearing_hat,lr,22,pos,0.0
wearing_hat,lr,22,neg,0.003935414709508311
wearing_hat,lr,23,pos,0.0
wearing_hat,lr,23,neg,0.002342337426844976
wearing_hat,pclarc,0,pos,0.01754759617738033
wearing_hat,pclarc,0,neg,0.00847472876192401
wearing_hat,pclarc,1,pos,0.015223468429347964
wearing_hat,pclarc,1,neg,0.002873378312186592
wearing_hat,pclarc,2,pos,0.009046380876720939
wearing_hat,pclarc,2,neg,0.0003020592245375209
wearing_hat,pclarc,3,pos,0.007713055247284606
wearing_hat,pclarc,3,neg,0.0
wearing_hat,pclarc,4,pos,0.005754439331932204
wearing_hat,pclarc,4,neg,0.0
wearing_hat,pclarc,5,pos,0.004366839270684597
wearing_hat,pclarc,5,neg,0.0
wearing_hat,pclarc,6,pos,0.004132290649552006
wearing_hat,pclarc,6,neg,0.0
wearing_hat,pclarc,7,pos,0.0033835207359775854
wearing_hat,pclarc,7,neg,0.0
wearing_hat,pclarc,8,pos,0.0013349815245538021
wearing_hat,pclarc,8,neg,0.0
wearing_hat,pclarc,9,pos,0.001674321766862663
wearing_hat,pclarc,9,neg,0.0
wearing_hat,pclarc,10,pos,0.000470991469215587
wearing_hat,pclarc,10,neg,0.0
wearing_hat,pclarc,11,pos,0.0
wearing_hat,pclarc,11,neg,0.0
wearing_hat,pclarc,12,pos,0.0
