concept,method,debias_layer,downstream_layer,layers_after,label,mmd2
wearing_hat,diff_means,0,0,0,pos,0.7379161434991001
wearing_hat,diff_means,0,0,0,neg,0.8059612936960918
wearing_hat,diff_means,0,1,1,pos,0.33039850969850093
wearing_hat,diff_means,0,1,1,neg,0.36062097536728954
wearing_hat,diff_means,0,2,2,pos,0.18482038402542056
wearing_hat,diff_means,0,2,2,neg,0.20788354151567567
wearing_hat,diff_means,0,3,3,pos,0.1374859723355033
wearing_hat,diff_means,0,3,3,neg,0.1553122547676542
wearing_hat,diff_means,0,4,4,pos,0.08017427761886653
wearing_hat,diff_means,0,4,4,neg,0.09132557878579917
wearing_hat,diff_means,0,5,5,pos,0.04316996144839291
wearing_hat,diff_means,0,5,5,neg,0.0511781469259911
wearing_hat,diff_means,0,6,6,pos,0.0251035476905086
wearing_hat,diff_means,0,6,6,neg,0.03268564277689068
wearing_hat,diff_means,0,7,7,pos,0.014069914581668508
wearing_hat,diff_means,0,7,7,neg,0.018379167365828675
wearing_hat,diff_means,0,8,8,pos,0.004412526559071761
wearing_hat,diff_means,0,8,8,neg,0.009173229953478801
wearing_hat,diff_means,0,9,9,pos,0.0
wearing_hat,diff_means,0,9,9,neg,0.004526017150445316
wearing_hat,diff_means,0,10,10,pos,0.0
wearing_hat,diff_means,0,10,10,neg,0.002491888759215799
wearing_hat,diff_means,0,11,11,pos,0.0
wearing_hat,diff_means,0,11,11,neg,0.0012382081660311517
wearing_hat,diff_means,0,12,12,pos,0.0
wearing_hat,diff_means,0,12,12,neg,0.0
wearing_hat,diff_means,0,13,13,pos,0.0
wearing_hat,diff_means,0,13,13,neg,0.0
wearing_hat,diff_means,0,14,14,pos,0.0
wearing_hat,diff_means,0,14,14,neg,0.0
wearing_hat,diff_means,0,15,15,pos,0.0
wearing_hat,diff_means,0,15,15,neg,0.0
wearing_hat,diff_means,0,16,16,pos,0.0
wearing_hat,diff_means,0,16,16,neg,0.0
wearing_hat,diff_means,0,17,17,pos,0.0
wearing_hat,diff_means,0,17,17,neg,0.0
wearing_hat,diff_means,0,18,18,pos,0.0
wearing_hat,diff_means,0,18,18,neg,0.0
wearing_hat,diff_means,0,19,19,pos,0.0
wearing_hat,diff_means,0,19,19,neg,0.0
wearing_hat,diff_means,0,20,20,pos,0.0
wearing_hat,diff_means,0,20,20,neg,0.0
wearing_hat,diff_means,0,21,21,pos,0.0
wearing_hat,diff_means,0,21,21,neg,0.0
wearing_hat,diff_means,0,22,22,pos,0.0
wearing_hat,diff_means,0,22,22,neg,0.0
wearing_hat,diff_means,0,23,23,pos,0.0
wearing_hat,diff_means,0,23,23,neg,0.0
wearing_hat,diff_means,1,1,0,pos,0.4427170976981196
wearing_hat,diff_means,1,1,0,neg,0.5344443821651329
wearing_hat,diff_means,1,2,1,pos,0.2237987506025645
wearing_hat,diff_means,1,2,1,neg,0.2868029740163518
wearing_hat,diff_means,1,3,2,pos,0.15612863937490307
wearing_hat,diff_means,1,3,2,neg,0.1956703051203441
wearing_hat,diff_means,1,4,3,pos,0.09382500470337041
wearing_hat,diff_means,1,4,3,neg,0.11931460228131385
wearing_hat,diff_means,1,5,4,pos,0.05301945335593383
wearing_hat,diff_means,1,5,4,neg,0.07251116517270817
wearing_hat,diff_means,1,6,5,pos,0.03201421201880583
wearing_hat,diff_means,1,6,5,neg,0.04662458587301366
wearing_hat,diff_means,1,7,6,pos,0.018129866314281706
wearing_hat,diff_means,1,7,6,neg,0.028578322656256594
wearing_hat,diff_means,1,8,7,pos,0.00609749578113572
wearing_hat,diff_means,1,8,7,neg,0.013357722951962137
wearing_hat,diff_means,1,9,8,pos,0.0008848169249366933
wearing_hat,diff_means,1,9,8,neg,0.005821744719799904
wearing_hat,diff_means,1,10,9,pos,0.0
wearing_hat,diff_means,1,10,9,neg,0.004362080316614669
wearing_hat,diff_means,1,11,10,pos,0.0
wearing_hat,diff_means,1,11,10,neg,0.0019920488948705906
wearing_hat,diff_means,1,12,11,pos,0.0
wearing_hat,diff_means,1,12,11,neg,0.0007475861120058713
wearing_hat,diff_means,1,13,12,pos,0.0
wearing_hat,diff_means,1,13,12,neg,0.0010102553167306016
wearing_hat,diff_means,1,14,13,pos,0.0
wearing_hat,diff_means,1,14,13,neg,0.0004639677404709719
wearing_hat,diff_means,1,15,14,pos,0.0
wearing_hat,diff_means,1,15,14,neg,0.0
wearing_hat,diff_means,1,16,15,pos,0.0
wearing_hat,diff_means,1,16,15,neg,0.0
wearing_hat,diff_means,1,17,16,pos,0.0
wearing_hat,diff_means,1,17,16,neg,0.0
wearing_hat,diff_means,1,18,17,pos,0.0
wearing_hat,diff_means,1,18,17,neg,0.0
wearing_hat,diff_means,1,19,18,pos,0.0
wearing_hat,diff_means,1,19,18,neg,0.0
wearing_hat,diff_means,1,20,19,pos,0.0
wearing_hat,diff_means,1,20,19,neg,0.0
wearing_hat,diff_means,1,21,20,pos,0.0
wearing_hat,diff_means,1,21,20,neg,0.0
wearing_hat,diff_means,1,22,21,pos,0.0
wearing_hat,diff_means,1,22,21,neg,0.0
wearing_hat,diff_means,1,23,22,pos,0.0
wearing_hat,diff_means,1,23,22,neg,0.0
wearing_hat,diff_means,2,2,0,pos,0.49051079621305127
wearing_hat,diff_means,2,2,0,neg,0.5940175914266794
wearing_hat,diff_means,2,3,1,pos,0.38724323934485905
wearing_hat,diff_means,2,3,1,neg,0.4787450015137914
wearing_hat,diff_means,2,4,2,pos,0.2532241108350166
wearing_hat,diff_means,2,4,2,neg,0.31228117765489105
wearing_hat,diff_means,2,5,3,pos,0.16209430031443017
wearing_hat,diff_means,2,5,3,neg,0.2011414240236824
wearing_hat,diff_means,2,6,4,pos,0.11180285673425594
wearing_hat,diff_means,2,6,4,neg,0.13383444310095616
wearing_hat,diff_means,2,7,5,pos,0.07598792369367047
wearing_hat,diff_means,2,7,5,neg,0.09730578874004481
wearing_hat,diff_means,2,8,6,pos,0.04176210808966885
wearing_hat,diff_means,2,8,6,neg,0.053497075541639516
wearing_hat,diff_means,2,9,7,pos,0.021411539454856854
wearing_hat,diff_means,2,9,7,neg,0.030123011714859205
wearing_hat,diff_means,2,10,8,pos,0.013218516582916173
wearing_hat,diff_means,2,10,8,neg,0.021227996823645512
wearing_hat,diff_means,2,11,9,pos,0.006999128642513508
wearing_hat,diff_means,2,11,9,neg,0.012321032542408794
wearing_hat,diff_means,2,12,10,pos,0.0060285615571862294
wearing_hat,diff_means,2,12,10,neg,0.012121641138590933
