target_attribute,bal_acc,auc,regime,debiased_concept,method,debias_layer,ba_raw,delta_ba,n_iterations,n_layers
5_o_clock_shadow,0.5632690262798117,0.5827130487619626,raw,none,none,-1,,,,
arched_eyebrows,0.6026785714285714,0.6176060267857143,raw,none,none,-1,,,,
attractive,0.512766814337495,0.6459927507047927,raw,none,none,-1,,,,
bags_under_eyes,0.5171781305114639,0.503068783068783,raw,none,none,-1,,,,
bald,0.73828125,0.856201171875,raw,none,none,-1,,,,
bangs,0.7534054860981526,0.8077999626796044,raw,none,none,-1,,,,
big_lips,0.4087511890202473,0.4491099334148662,raw,none,none,-1,,,,
big_nose,0.5955004591368228,0.662809917355372,raw,none,none,-1,,,,
black_hair,0.6770050125313283,0.8605889724310777,raw,none,none,-1,,,,
blond_hair,0.9279835390946503,0.9566318455207343,raw,none,none,-1,,,,
blurry,0.7192622950819672,0.7366803278688524,raw,none,none,-1,,,,
brown_hair,0.6794871794871795,0.864024864024864,raw,none,none,-1,,,,
bushy_eyebrows,0.5391960914945592,0.5072174106151455,raw,none,none,-1,,,,
chubby,0.554147465437788,0.7105990783410138,raw,none,none,-1,,,,
double_chin,0.5651041666666666,0.6715494791666667,raw,none,none,-1,,,,
eyeglasses,0.9294146990355836,0.974393082806784,raw,none,none,-1,,,,
goatee,0.766163222045575,0.8618177000529942,raw,none,none,-1,,,,
gray_hair,0.7772136696145868,0.8773883611748008,raw,none,none,-1,,,,
heavy_makeup,0.5255852842809364,0.5628762541806019,raw,none,none,-1,,,,
high_cheekbones,0.48660714285714285,0.41412450396825395,raw,none,none,-1,,,,
male,0.9878640776699029,0.9893203883495146,raw,none,none,-1,,,,
mouth_slightly_open,0.527039627039627,0.5459207459207459,raw,none,none,-1,,,,
mustache,0.6675562024907002,0.7354035257965389,raw,none,none,-1,,,,
narrow_eyes,0.545159386068477,0.5413223140495868,raw,none,none,-1,,,,
no_beard,0.6408531252102536,0.6961582453071385,raw,none,none,-1,,,,
oval_face,0.5212585034013605,0.5776785714285715,raw,none,none,-1,,,,
pale_skin,0.5032520325203252,0.6056910569105691,raw,none,none,-1,,,,
