target_attribute,bal_acc,auc,regime,debiased_concept,method,debias_layer,ba_raw,delta_ba,n_iterations,n_layers
5_o_clock_shadow,0.5193965517241379,0.5711206896551724,raw,none,none,-1,,,,
arched_eyebrows,0.5626846272007562,0.5970695970695971,raw,none,none,-1,,,,
attractive,0.5037742504409171,0.5727689594356261,raw,none,none,-1,,,,
bags_under_eyes,0.49972497249724973,0.43105977264393097,raw,none,none,-1,,,,
bald,0.7916786226685797,0.8855093256814921,raw,none,none,-1,,,,
bangs,0.7911371237458193,0.8762541806020068,raw,none,none,-1,,,,
big_lips,0.49339445923296854,0.47835945972591937,raw,none,none,-1,,,,
big_nose,0.6038961038961039,0.6026228673287497,raw,none,none,-1,,,,
black_hair,0.7624356775300172,0.874892795883362,raw,none,none,-1,,,,
blond_hair,0.8239108409321175,0.9175278622087133,raw,none,none,-1,,,,
blurry,0.6905737704918034,0.7568306010928961,raw,none,none,-1,,,,
brown_hair,0.6731892920233727,0.8200842505775241,raw,none,none,-1,,,,
bushy_eyebrows,0.5666666666666667,0.6079653679653679,raw,none,none,-1,,,,
chubby,0.5684389140271493,0.6790158371040724,raw,none,none,-1,,,,
double_chin,0.5791995787256451,0.662664560294892,raw,none,none,-1,,,,
eyeglasses,0.890625,0.95684814453125,raw,none,none,-1,,,,
goatee,0.6863132310496735,0.7727479872398602,raw,none,none,-1,,,,
gray_hair,0.8106493506493506,0.8855411255411255,raw,none,none,-1,,,,
heavy_makeup,0.5327433628318584,0.546165191740413,raw,none,none,-1,,,,
high_cheekbones,0.47804429215051714,0.3778158512595977,raw,none,none,-1,,,,
male,0.9733727810650887,0.9665374413385024,raw,none,none,-1,,,,
mouth_slightly_open,0.5359605911330049,0.5602216748768473,raw,none,none,-1,,,,
mustache,0.7235634958957026,0.8331723804925157,raw,none,none,-1,,,,
narrow_eyes,0.5625,0.5393145161290323,raw,none,none,-1,,,,
no_beard,0.5822666367243057,0.5424807246051351,raw,none,none,-1,,,,
oval_face,0.48116504854368936,0.42582524271844663,raw,none,none,-1,,,,
pale_skin,0.5313969571230982,0.681881051175657,raw,none,none,-1,,,,
pointy_nose,0.4527646129541864,0.5150078988941549,raw,none,none,-1,,,,
receding_hairline,0.540530058177117,0.5736263736263736,raw,none,none,-1,,,,
rosy_cheeks,0.6085365853658536,0.7097560975609756,raw,none,none,-1,,,,
sideburns,0.6846011131725418,0.7840445269016698,raw,none,none,-1,,,,
smiling,0.8533823079277625,0.9548209366391185,raw,none,none,-1,,,,
straight_hair,0.6095238095238096,0.6042553191489362,raw,none,none,-1,,,,
wavy_hair,0.5412589262099974,0.5826500925681036,raw,none,none,-1,,,,
wearing_earrings,0.6824614065180103,0.721483704974271,raw,none,none,-1,,,,
wearing_hat,0.9046066041581737,0.9313765457263216,raw,none,none,-1,,,,
wearing_lipstick,0.421875,0.38916015625,raw,none,none,-1,,,,
wearing_necklace,0.5299207504447678,0.5236939996765324,raw,none,none,-1,,,,
wearing_necktie,0.5631247686042207,0.6249537208441318,raw,none,none,-1,,,,
young,0.8066604995374653,0.889300030835646,raw,none,none,-1,,,,
5_o_clock_shadow,0.5086206896551724,0.5671695402298851,single,eyeglasses,diff_means,0,0.5193965517241379,-0.010775862068965525,,
arched_eyebrows,0.5824175824175823,0.5999054708732129,single,eyeglasses,diff_means,0,0.5626846272007562,0.019732955216826165,,
attractive,0.50663139329806,0.5767195767195767,single,eyeglasses,diff_means,0,0.5037742504409171,0.0028571428571428914,,
bags_under_eyes,0.4787312064539787,0.4328932893289329,single,eyeglasses,diff_means,0,0.49972497249724973,-0.020993766043271023,,
bald,0.7916786226685797,0.8851267336202773,single,eyeglasses,diff_means,0,0.7916786226685797,0.0,,
bangs,0.7911371237458193,0.8749163879598663,single,eyeglasses,diff_means,0,0.7911371237458193,0.0,,
big_lips,0.48614808242137436,0.47303559104801346,single,eyeglasses,diff_means,0,0.49339445923296854,-0.00724637681159418,,
big_nose,0.5990578049401578,0.6045963840081489,single,eyeglasses,diff_means,0,0.6038961038961039,-0.004838298955946119,,
black_hair,0.7647941680960548,0.8736063464837049,single,eyeglasses,diff_means,0,0.7624356775300172,0.002358490566037652,,
blond_hair,0.8455927051671732,0.918338399189463,single,eyeglasses,diff_means,0,0.8239108409321175,0.021681864235055692,,
blurry,0.6550546448087432,0.7476092896174864,single,eyeglasses,diff_means,0,0.6905737704918034,-0.03551912568306015,,
brown_hair,0.6731892920233727,0.8160076097295829,single,eyeglasses,diff_means,0,0.6731892920233727,0.0,,
bushy_eyebrows,0.5645021645021645,0.6091774891774893,single,eyeglasses,diff_means,0,0.5666666666666667,-0.0021645021645021467,,
chubby,0.5708898944193062,0.679392911010558,single,eyeglasses,diff_means,0,0.5684389140271493,0.002450980392156854,,
double_chin,0.5697209057398631,0.663928383359663,single,eyeglasses,diff_means,0,0.5791995787256451,-0.009478672985781977,,
eyeglasses,0.8984375,0.95703125,single,eyeglasses,diff_means,0,0.890625,0.0078125,,
goatee,0.6841105878778673,0.7646969466808446,single,eyeglasses,diff_means,0,0.6863132310496735,-0.0022026431718061845,,
gray_hair,0.8106493506493506,0.8845021645021645,single,eyeglasses,diff_means,0,0.8106493506493506,0.0,,
heavy_makeup,0.5349557522123893,0.5466076696165192,single,eyeglasses,diff_means,0,0.5327433628318584,0.0022123893805309214,,
high_cheekbones,0.4845802398629354,0.3764198235928676,single,eyeglasses,diff_means,0,0.47804429215051714,0.006535947712418277,,
male,0.9733727810650887,0.9668094946609536,single,eyeglasses,diff_means,0,0.9733727810650887,0.0,,
mouth_slightly_open,0.5222906403940887,0.5551108374384236,single,eyeglasses,diff_means,0,0.5359605911330049,-0.013669950738916192,,
mustache,0.7212699179140512,0.8230323515210044,single,eyeglasses,diff_means,0,0.7235634958957026,-0.002293577981651418,,
narrow_eyes,0.5685483870967742,0.5383064516129032,single,eyeglasses,diff_means,0,0.5625,0.006048387096774244,,
no_beard,0.5754173216558126,0.5376899468523093,single,eyeglasses,diff_means,0,0.5822666367243057,-0.006849315068493067,,
oval_face,0.48116504854368936,0.42601941747572813,single,eyeglasses,diff_means,0,0.48116504854368936,0.0,,
pale_skin,0.5334716459197787,0.6769017980636238,single,eyeglasses,diff_means,0,0.5313969571230982,0.0020746887966804906,,
pointy_nose,0.4503949447077409,0.5140600315955766,single,eyeglasses,diff_means,0,0.4527646129541864,-0.002369668246445522,,
