target_attribute,bal_acc,auc,regime,debiased_concept,method,debias_layer,ba_raw,delta_ba,n_iterations,n_layers
5_o_clock_shadow,0.543939393939394,0.5609848484848485,raw,none,none,-1,,,,
arched_eyebrows,0.5739590756388069,0.5996131528046422,raw,none,none,-1,,,,
attractive,0.5056326187473729,0.550063051702396,raw,none,none,-1,,,,
bags_under_eyes,0.49261363636363636,0.4369318181818182,raw,none,none,-1,,,,
bald,0.6784587193321796,0.791204316400285,raw,none,none,-1,,,,
bangs,0.7819345311346295,0.8818606940684224,raw,none,none,-1,,,,
big_lips,0.5038260169150222,0.48699154248892473,raw,none,none,-1,,,,
big_nose,0.5979064039408867,0.6476600985221674,raw,none,none,-1,,,,
black_hair,0.7421875,0.875244140625,raw,none,none,-1,,,,
blond_hair,0.8910903273443269,0.9377307408318976,raw,none,none,-1,,,,
blurry,0.6174863387978142,0.6308060109289617,raw,none,none,-1,,,,
brown_hair,0.6596638655462185,0.8202614379084967,raw,none,none,-1,,,,
bushy_eyebrows,0.5298092209856916,0.5116587175410705,raw,none,none,-1,,,,
chubby,0.65625,0.7686767578125,raw,none,none,-1,,,,
double_chin,0.6105072463768115,0.7023701690821255,raw,none,none,-1,,,,
eyeglasses,0.8911807847451412,0.9590209020902091,raw,none,none,-1,,,,
goatee,0.6265151515151515,0.7416666666666667,raw,none,none,-1,,,,
gray_hair,0.7805017921146953,0.8970609318996416,raw,none,none,-1,,,,
heavy_makeup,0.5444896951746266,0.6091571023077873,raw,none,none,-1,,,,
high_cheekbones,0.4745073891625616,0.4019088669950739,raw,none,none,-1,,,,
male,0.981283422459893,0.9770595985429745,raw,none,none,-1,,,,
mouth_slightly_open,0.4988702290076336,0.4742595419847328,raw,none,none,-1,,,,
mustache,0.735696463907769,0.8287877484298374,raw,none,none,-1,,,,
narrow_eyes,0.608927381745503,0.6140350877192983,raw,none,none,-1,,,,
no_beard,0.5362220935469343,0.5666216303158979,raw,none,none,-1,,,,
oval_face,0.5045817570407735,0.4933165195460277,raw,none,none,-1,,,,
pale_skin,0.6195121951219512,0.7983739837398374,raw,none,none,-1,,,,
pointy_nose,0.5202020202020202,0.4906565656565657,raw,none,none,-1,,,,
receding_hairline,0.49663724253888186,0.5396385035729298,raw,none,none,-1,,,,
rosy_cheeks,0.6566951566951567,0.7584678695789807,raw,none,none,-1,,,,
sideburns,0.5889407061958695,0.6160337552742616,raw,none,none,-1,,,,
smiling,0.83003663003663,0.938034188034188,raw,none,none,-1,,,,
straight_hair,0.4561157796451914,0.48179271708683474,raw,none,none,-1,,,,
wavy_hair,0.6076329331046312,0.5862993138936535,raw,none,none,-1,,,,
wearing_earrings,0.7058962542833511,0.7749025168380007,raw,none,none,-1,,,,
wearing_hat,0.8706687730384413,0.9140600315955766,raw,none,none,-1,,,,
wearing_lipstick,0.45585707824513794,0.4541836273179557,raw,none,none,-1,,,,
wearing_necklace,0.6082066869300912,0.660790273556231,raw,none,none,-1,,,,
wearing_necktie,0.6297285269247885,0.639074321317312,raw,none,none,-1,,,,
young,0.8528836754643205,0.9224095796676443,raw,none,none,-1,,,,
5_o_clock_shadow,0.5232323232323233,0.5619949494949494,single,chubby,diff_means,0,0.543939393939394,-0.020707070707070674,,
arched_eyebrows,0.5739590756388069,0.6072482948182836,single,chubby,diff_means,0,0.5739590756388069,0.0,,
attractive,0.5056326187473729,0.5560319461958806,single,chubby,diff_means,0,0.5056326187473729,0.0,,
bags_under_eyes,0.4903409090909091,0.4407670454545455,single,chubby,diff_means,0,0.49261363636363636,-0.0022727272727272596,,
bald,0.6784587193321796,0.7933421561641046,single,chubby,diff_means,0,0.6784587193321796,0.0,,
bangs,0.7819345311346295,0.8813684469603741,single,chubby,diff_means,0,0.7819345311346295,0.0,,
big_lips,0.49859041482078137,0.4836890857833266,single,chubby,diff_means,0,0.5038260169150222,-0.005235602094240788,,
big_nose,0.597167487684729,0.6461822660098522,single,chubby,diff_means,0,0.5979064039408867,-0.000738916256157629,,
black_hair,0.75,0.875732421875,single,chubby,diff_means,0,0.7421875,0.0078125,,
blond_hair,0.8910903273443269,0.9372384937238494,single,chubby,diff_means,0,0.8910903273443269,0.0,,
blurry,0.6673497267759563,0.6331967213114754,single,chubby,diff_means,0,0.6174863387978142,0.04986338797814205,,
brown_hair,0.6533613445378151,0.8125583566760037,single,chubby,diff_means,0,0.6596638655462185,-0.006302521008403339,,
bushy_eyebrows,0.5298092209856916,0.5062268150503445,single,chubby,diff_means,0,0.5298092209856916,0.0,,
chubby,0.66015625,0.76837158203125,single,chubby,diff_means,0,0.65625,0.00390625,,
double_chin,0.5969202898550725,0.7019927536231882,single,chubby,diff_means,0,0.6105072463768115,-0.013586956521739024,,
eyeglasses,0.8887055372203887,0.957920792079208,single,chubby,diff_means,0,0.8911807847451412,-0.0024752475247524774,,
goatee,0.6404040404040403,0.7407828282828283,single,chubby,diff_means,0,0.6265151515151515,0.01388888888888884,,
gray_hair,0.7760573476702508,0.8953405017921147,single,chubby,diff_means,0,0.7805017921146953,-0.004444444444444473,,
heavy_makeup,0.5490559052202888,0.6170554115759596,single,chubby,diff_means,0,0.5444896951746266,0.004566210045662156,,
high_cheekbones,0.470935960591133,0.4049876847290641,single,chubby,diff_means,0,0.4745073891625616,-0.0035714285714285587,,
male,0.981283422459893,0.9772921026117958,single,chubby,diff_means,0,0.981283422459893,0.0,,
mouth_slightly_open,0.5068702290076336,0.4721832061068702,single,chubby,diff_means,0,0.4988702290076336,0.007999999999999952,,
mustache,0.7306203217757894,0.8265508044394735,single,chubby,diff_means,0,0.735696463907769,-0.0050761421319796,,
narrow_eyes,0.6131467910282034,0.6173662003109038,single,chubby,diff_means,0,0.608927381745503,0.00421940928270037,,
no_beard,0.5362220935469343,0.5652062021488774,single,chubby,diff_means,0,0.5362220935469343,0.0,,
oval_face,0.5045817570407735,0.49045817570407735,single,chubby,diff_means,0,0.5045817570407735,0.0,,
pale_skin,0.6235772357723577,0.7975609756097561,single,chubby,diff_means,0,0.6195121951219512,0.004065040650406471,,
pointy_nose,0.5202020202020202,0.4941919191919192,single,chubby,diff_means,0,0.5202020202020202,0.0,,
receding_hairline,0.501765447667087,0.5381252627154266,single,chubby,diff_means,0,0.49663724253888186,0.00512820512820511,,
rosy_cheeks,0.6546375435264324,0.7518201962646407,single,chubby,diff_means,0,0.6566951566951567,-0.002057613168724215,,
sideburns,0.5826115922718188,0.6160337552742616,single,chubby,diff_means,0,0.5889407061958695,-0.006329113924050667,,
