target_attribute,bal_acc,auc,regime,debiased_concept,method,debias_layer,ba_raw,delta_ba,n_iterations,n_layers
5_o_clock_shadow,0.5936671966083731,0.6583200847906729,raw,none,none,-1,,,,
arched_eyebrows,0.5336538461538461,0.5447716346153846,raw,none,none,-1,,,,
attractive,0.49868107829891267,0.6117223187286882,raw,none,none,-1,,,,
bags_under_eyes,0.5104755570335883,0.48686398403724646,raw,none,none,-1,,,,
bald,0.743421052631579,0.7973057644110276,raw,none,none,-1,,,,
bangs,0.780952380952381,0.8492401215805471,raw,none,none,-1,,,,
big_lips,0.4759967780910189,0.48586387434554973,raw,none,none,-1,,,,
big_nose,0.6067608861726509,0.6735421441303795,raw,none,none,-1,,,,
black_hair,0.7118353344768439,0.8447684391080619,raw,none,none,-1,,,,
blond_hair,0.8527583527583528,0.9257964257964257,raw,none,none,-1,,,,
blurry,0.581829692940804,0.6100031655587211,raw,none,none,-1,,,,
brown_hair,0.6441053408811224,0.8114693576175239,raw,none,none,-1,,,,
bushy_eyebrows,0.5256637168141592,0.51976401179941,raw,none,none,-1,,,,
chubby,0.6801029159519726,0.7496783876500859,raw,none,none,-1,,,,
double_chin,0.6389380530973452,0.7452802359882006,raw,none,none,-1,,,,
eyeglasses,0.8670415466121386,0.95259782507668,raw,none,none,-1,,,,
goatee,0.6323864499468328,0.6852498860701808,raw,none,none,-1,,,,
gray_hair,0.8884297520661157,0.9663518299881936,raw,none,none,-1,,,,
heavy_makeup,0.5651138716356108,0.6082815734989648,raw,none,none,-1,,,,
high_cheekbones,0.5223214285714286,0.4744543650793651,raw,none,none,-1,,,,
male,0.9778481012658228,0.9779772668561094,raw,none,none,-1,,,,
mouth_slightly_open,0.5481199779181746,0.5662148070907195,raw,none,none,-1,,,,
mustache,0.7328377504848094,0.8120232708468003,raw,none,none,-1,,,,
narrow_eyes,0.6289424860853432,0.649721706864564,raw,none,none,-1,,,,
no_beard,0.5490595723378388,0.5048272902810556,raw,none,none,-1,,,,
oval_face,0.4896611768120148,0.4651382137415657,raw,none,none,-1,,,,
pale_skin,0.6291547958214625,0.7755618866729977,raw,none,none,-1,,,,
pointy_nose,0.4879931389365352,0.4997855917667239,raw,none,none,-1,,,,
receding_hairline,0.5275237917521927,0.5793991416309012,raw,none,none,-1,,,,
rosy_cheeks,0.6000590318772137,0.7564935064935066,raw,none,none,-1,,,,
sideburns,0.6473098330241187,0.7554730983302412,raw,none,none,-1,,,,
smiling,0.863709032773781,0.9390026440386152,raw,none,none,-1,,,,
straight_hair,0.661991341991342,0.6604329004329004,raw,none,none,-1,,,,
wavy_hair,0.574134730865815,0.6198274920842887,raw,none,none,-1,,,,
wearing_earrings,0.6529063309885228,0.7357768727631742,raw,none,none,-1,,,,
wearing_hat,0.875,0.9365234375,raw,none,none,-1,,,,
wearing_lipstick,0.49092615769712145,0.4818523153942428,raw,none,none,-1,,,,
wearing_necklace,0.5979933110367892,0.6989966555183947,raw,none,none,-1,,,,
wearing_necktie,0.5761714412613813,0.6000444148345547,raw,none,none,-1,,,,
young,0.8176058931860037,0.8853775322283609,raw,none,none,-1,,,,
5_o_clock_shadow,0.5936671966083731,0.6583200847906729,single,wearing_hat,diff_means,0,0.5936671966083731,0.0,,
arched_eyebrows,0.530448717948718,0.5443709935897436,single,wearing_hat,diff_means,0,0.5336538461538461,-0.0032051282051281937,,
attractive,0.5018657916747089,0.6116579810847327,single,wearing_hat,diff_means,0,0.49868107829891267,0.003184713375796233,,
bags_under_eyes,0.5159627535749917,0.48944130362487526,single,wearing_hat,diff_means,0,0.5104755570335883,0.005487196541403394,,
bald,0.743421052631579,0.7982456140350878,single,wearing_hat,diff_means,0,0.743421052631579,0.0,,
